b'ak'tun a woagye atom;b'ak'tun
bunny a ɛyɛ fɛ;bunny
bunny abeawa a ɔyɛ ɔkraman;bunny girl
bunsen a wɔde hyew nneɛma;Bunsen burner
bunt;bunt
bunting a wɔde yɛ adwuma;bunting
bunu;blue
bunuelian kasa;Bunuelian
buo;cage
buoy a wɔde yɛ adwuma;buoy
buoyancy a ɛtumi fa nsuo mu;buoyancy
buoyant a ɛyɛ hu;buoyant
bura;pond
burble a ɛyɛ hu;burble
burbot a wɔde yɛ adwuma;burbot
burdigalian kasa;Burdigalian
burdock a wɔde yɛ nneɛma;burdock
bureau;bureau
bureau de nsakrae ho adwumayɛbea;bureau de change
burg;burg
burgeon a wɔfrɛ no burgeon;burgeon
burgle a wɔde bɔ nneɛma;burgle
burgomaster a wɔfrɛ no burgomaster;burgomaster
burgundian kasa;Burgundian
burgundy a ɛyɛ fɛ;burgundy
burka;burka
burkina faso na ɛwɔ hɔ;Burkina Faso
burkinabe na ɔkyerɛwee;Burkinabe
burl;burl
burlap a wɔde yɛ ntama;burlap
burly;burly
burma;Burma
burmafo kasa;Burmese
burnish a ɛyɛ hyew;burnish
burnoose a ɛyɛ hyew;burnoose
buro;buro
burocracy a wɔde di dwuma;burocracy
burocratic a ɛyɛ adwuma;burocratic
burodo;loaf
buronya;Christmas
buronya anwummere;Christmas Eve
buronya bere mu;Christmastime
buronya dua;Christmas tree
buronya ho anigye;Christmassy
buronya keeki;Christmas cake
buronya krataa;Christmas card
buronya nnwom a wɔbɔ;Christmas carol
buronya stocking a wɔde yɛ nneɛma;Christmas stocking
buronya supɔw so;Christmas Island
buronya supɔw soni;Christmas Islander
burp;burp
burr;burr
burr nkwammoaa;burr cell
burrito a wɔde yɛ adwuma;burrito
burro;burro
burrow;burrow
bursitis a ɛma obi nya ɔyare;bursitis
burundi na ɛwɔ hɔ;Burundi
burundifo de;Burundian
buryat na ɛwɔ hɔ;Buryat
buryatia na ɔkyerɛwee;Buryatia
busan;Busan
busbar a wɔde yɛ adwuma;busbar
busby a wɔde yɛ adwuma;busby
bushel;bushel
bushism a wɔde di dwuma;Bushism
bushman a ɔyɛ ɔbarima;Bushman
busk;busk
busker;busker
bustard a ɔyɛ ɔbarima;bustard
buster a ɛyɛ hu;buster
busty a ɛyɛ den;busty
busuani;relative
butadiene a wɔde yɛ adwuma;butadiene
butane a wɔde yɛ adwuma;butane
butanol a wɔde di dwuma;butanol
butanone a wɔde yɛ adwuma;butanone
butcher block;butcher block
butcher's hook a wɔde hyɛ mu;butcher's hook
butene;butene
butler a ɔyɛ adwuma;butler
butt;butt
butt ti ahorow;butt heads
butt wɔ mu;butt in
butternut squash a wɔde yɛ aduan;butternut squash
butthurt na ɛyɛ;butthurt
button mushroom a wɔde yɛ aduru;button mushroom
button no kɔ soro;button up
buttonhole a wɔde hyɛ mu;buttonhole
buttress a wɔde hyɛ mu;buttress
buttress a ɛtu;flying buttress
butyl a wɔde yɛ adwuma;butyl
butylene a wɔfrɛ no butylene;butylene
butyric a wɔde di dwuma;butyric
buxom;buxom
buyable;buyable
buzz a ɛyɛ dede;buzz
buzz-kasamu a wɔde di dwuma;buzz-phrase
buzzard a ne nan yɛ mmerɛw;rough-legged buzzard
buzzard a ɔyɛ ɔkraman;buzzard
buzzcut a wɔde di dwuma;buzzcut
buzzer a wɔde bɔ nnwom;buzzer
by-product a ɛba;by-product
byblos na ɔkyerɛwee;Byblos
bye-bye;bye-bye
byelorusfoɔ ssr;Byelorussian SSR
bylina na ɔkyerɛwee;bylina
bypass a wobɛfa so;bypass
byproduct a ɛba;byproduct
byre;byre
byte a wɔde yɛ adwuma;byte
byzantine ahemman no;Byzantine Empire
byzantium na ɛwɔ hɔ;Byzantium
byzantiumfoɔ;Byzantine
béchamel a wɔde yɛ aduan;béchamel sauce
bézier curve a ɛwɔ hɔ;Bézier curve
bête noire a wɔde kyerɛw nsɛm;bête noire
bɔ;hit
bɔ;kick
bɔ;play
bɔ;shine
bɔ;sting
bɔ aba so;compliment
bɔ abira;refute
bɔ abɛn no;blow the whistle
bɔ adeɛ so;bang
bɔ adwene pɔ;determined
bɔ adwuma;efficient
bɔ afiri mu;blow out
bɔ amanneɛ;apprise
bɔ amanneɛ;notify
bɔ amanneɛ;promulgate
bɔ asu;baptize
bɔ ban;defend
bɔ ban;protect
bɔ ban;shield
bɔ besea;borrow
bɔ besea;lend
bɔ bokiti no akuturuku;kick the bucket
bɔ dawuro;broadcast
bɔ dawuro;promote
bɔ dawuru;proclaim
bɔ din;mention
bɔ din;pronounce
bɔ din wɔ ɔkwan a ɛnteɛ so;mispronounce
bɔ dɔn bi;ring a bell
bɔ gas no mu;hit the gas
bɔ ho dawuru;advertise
bɔ jackpot no mu;hit the jackpot
bɔ kwaadu;accused
bɔ kwaadu;complain
bɔ kwae no ho hyia;beat around the bush
bɔ mmɔden;try
bɔ mpaeɛ;pray
bɔ mpɛmpɛn;anticipate
bɔ na tu mmirika;hit and run
bɔ nnua so;knock on wood
bɔ no fi hɔ;hit it off
bɔ no kosi sɛ wobɛbɔ akuturuku;beat to the punch
bɔ no mua;summarize
bɔ no na gyae;hit it and quit it
bɔ pon mu;knock
bɔ sobo;accuse
bɔ sobo sɛ;allege
bɔ tra;skip
bɔ wura mu;interrupt
bɔ wɔn nsam;applaud
bɔ ɔko ho dawuru;declare war
bɔbea;gender
bɔbea;shape
bɔfoɔ;angel
bɔgyete;budget
bɔhyɛ;vow
bɔhyɛ a wobu so;breach of promise
bɔhyɛ asase;Promised Land
bɔhyɛ krataa;promissory note
bɔkɔɔ;calm
bɔkɔɔ;slow
bɔkɔɔ;tender
bɔlɔb;bulb
bɔne;badly
bɔne;badness
bɔne;evil
bɔne;sin
bɔne;sinful
bɔne a edi awu;deadly sin
bɔne a ewu;mortal sin
bɔne a wɔsan yɛ bio;recidivism
bɔne a ɛho hia;necessary evil
bɔne a ɛyɛ bɔne;misdemeanor
bɔne ason a edi awu;seven deadly sins
bɔne dodo;too bad
bɔne fafiri;absolution
bɔne fafiri;forgiveness
bɔne fafiri;remission
bɔne serew;evil laugh
bɔnefoɔ;villain
bɔneka a wɔka;confession
bɔneka a wɔka;confessional
bɔneka a wɔka;confessionality
bɔnekafo;confessor
bɔnka;valley
bɔs a wɔde nsɛm a ɛyɛ dɛ di dwuma;articulated bus
bɔs bɔlɔb;bus bulb
bɔs dan a wɔde dabere;bus shelter
bɔs gyinabea;bus station
bɔs gyinabea;bus stop
bɔs ketewa bi;minibus
bɔs kwan;bus route
bɔsrɛmuka;creative
bɔsrɛmuka;fiction
bɔta;butter
bɔta a wɔde hyɛ mu;butter up
bɔta a wɔde yɛ aduan;butter dish
bɔta a wɔde yɛ aduan;buttermilk
bɔta a wɔde yɛ nneɛma;butterscotch
bɔta kuruwa;buttercup
bɔta nsateaa;butter fingers
bɔtee;dull
bɔtee;timid
bɔtom;button
bɔtɔ;bag
bɔɔ amanneɛ;informed
bɔɔl;football
bɔɔl a wɔde bɔ bɔɔl;balls
bɔɔl a wɔde hyɛ mu;ball bearing
bɔɔl a ɛkɔ soro;ball up
bɔɔl a ɛyɛ anyinam;ball lightning
bɔɔl abeawa;ball girl
bɔɔl hog;ball hog
bɔɔl-a emu dɔ;balls-deep
bɔɔla;litter
bɔɔlbɔ abarimaa;ball boy
bɔɔlbɔ agodie;ball game
bɔɔlbɔ bɔɔl;foosball
bɔɔlbɔbea;ballpark
bɔɔlbɔfo;footballer
bɔɔlbɔfo;goalkeeper
bɔɔlbɔfo;soccer player
bɔɔlo;ball
bɔɔlobɔ;soccer
bɔɔso;bus
bɛ;proverb
bɛ;shall
bɛ;will
bɛ;would
bɛ no;parable
bɛn;close to
bɛn;near
bɛn;nearby
bɛn a wɔbɛn wɔn ho;propinquity
bɛn a wɔbɛn wɔn ho;rapprochement
bɛn a ɛbɛn;proximity
bɛn beae a ɛbɛn;near point
bɛn hɔ;closely
bɛn hɔ;nigh
bɛpem seesei;so far
bɛpɛ sɛ;would like
bɛsi akan;will contest
bɛtumi;can
bɛtumi;capable
bɛtumi;may
bɛtumi aba sɛ;likely
bɛtumi de aba;tendency
bɛyɛ;approximately
bɛyɛ;become
bɛyɛ a wɔde bɛyɛ adwuma;approximation
bɛyɛ sɛ;approximate
bɛyɛ sɛ;circa
bɛyɛ yie;possible
bɛyɛ yie;useful
bɛɛren;bearing
