b'ak'tun;b'ak'tun a woagye atom
bourgeois;bourgeoisfoɔ
bourgeoisie;bourgeoisie a wɔyɛ adwumaden
bourgeoisify;bourgeoisy a wɔde yɛ adwuma
Bourguibism;Bourguibism a wɔde di dwuma
boustrophedon;boustrophedon a wɔde hyɛ nipadua mu
bout;bout
boutique;boutique a ɛwɔ hɔ
bouzouki;bouzouki na ɛyɛ
bovarysm;bovarysm a ɛyɛ mmerɛw
bovid;bovid
bovine;nantwi a wɔde wɔn ho hyɛ mu
bow and arrow;agyan ne agyan
bow wow;bow wow
bow;koto
bowdlerize;bowdlerize a wɔde di dwuma
bowel obstruction;dwensɔtwaa a ɛsiw
bowel;dwensɔtwaa
bowels;dwensɔtwaa mu
bower;bower
bowl cut;kuruwa a wɔatwa
bowl;kyɛnsee
bowleg;bowleg a wɔde bɔ bɔɔl
bowler hat;bowler kyɛw
bowline;bowline a wɔde hyɛ mu
bowling alley;bowling abɔnten so
bowling;bowling a wɔbɔ
bowls;nkuruwa a wɔde gu mu
bowser;bowser a ɔbɔ bɔɔl
bowsprit;bowsprit a wɔde kyerɛ
bowstring;agyan a wɔde bɔ hama
bowtie;bowtie a wɔde kyekyere wɔn ho
box office;adaka mu aguadidan mu
box spring;adaka mu ahohuru bere
box tree;adaka mu dua
box wine;adaka mu bobesa
box-office bomb;ɔtopae a wɔde gu adaka mu
box;adaka
boxer briefs;akuturukubɔfo ntade tiaa
boxer shorts;akuturukubɔfo ntade tiaa
boxer;akuturukubɔfo
Boxing Day;Akuturukubɔ Da
boxing glove;akuturukubɔ nsateaa
boxing;akuturukubɔ
boxwood;adaka mu nnua
Boy Scout;Boy Scoutfoɔ
boy;abarimawa
boyar;boyar
boycott;boycot a wɔbara
boyfriend;mpena
boyhood;abarimaabere mu
boysenberry;boysenberry a ɛyɛ abarimaa
Boötes;Boötes na ɔkyerɛwee
bra;bra
Brabant;Brabant na ɔkyerɛwee
brace;brace a wɔde hyɛ mu
bracelet;abakɔn kawa
braces;braces a wɔde hyɛ nipadua mu
brachial;brachial a ɛwɔ nipadua no mu
brachiation;brachiation a wɔde hyɛ nipadua mu
brachiopod;brachiopod (brachiopod) a wɔfrɛ no brachiopod
brachioproctic;brachioproctic a wɔde yɛ adwuma
brachioradialis;brachioradialis a ɛwɔ nipadua no mu
brachiosaur;brachiosaur a wɔfrɛ no brachiosaur
brachylogy;brachyology a wɔde di dwuma
brachytherapy;brachytherapy a wɔde sa yare
brachyuran;brachyuran a wɔde di dwuma
bracken;bracken a wɔde hyɛ mu
bracket;bracket a wɔde hyɛ mu
brackish;brackish a ɛyɛ nwini
braconid;braconid a ɛwɔ nipadua no mu
bract;bract
bradycardia;bradycardia a ɛma obi ho yɛ hyew
brag;ahoahoa wɔn ho
Bragança;Bragança na ɔkyerɛwee
braggart;ahoahoa ne ho
Brahman;Brahman na ɔkyerɛwee
braid;braid a wɔde ntama ayɛ
braids;braids a wɔde kyekyere nneɛma
braille;braille a wɔde kyerɛw nsɛm
brain cancer;amemene mu kokoram
brain cell;amemene mu nkwammoaa
brain drain;amemene mu nsu a ɛkɔ nipadua no mu
brain mushroom;amemene mu nsenia
brain stem;amemene mu ntini
brain-washing;amemene a wɔhohoro
brain;adwene
brainchild;adwene mu adeyɛ
brainstorming;adwene mu nsɛm a wɔde di dwuma
brainwash;amemene mu ahohoro
braise;braise a wɔde yɛ braise
brake lining;breki a wɔde hyɛ mu
brake pad;breki a wɔde hyɛ mu
brake;breki a wɔde hyɛ mu
bramble;bramble
brambling;brambling a wɔde di dwuma
bran;bran
branch cut;nkorabata a wɔatwa
branch off;branch off
branch office;baa dwumadibea
branch;fa
brand new;foforo koraa
brand;adeban
brandade;brandade a wɔde yɛ nneɛma
Brandenburg;Brandenburg na ɔkyerɛwee
branding iron;dade a wɔde hyɛ agyiraehyɛde mu
brandish;brandish a wɔde hyɛ mu
brandy;brandy a wɔde yɛ nneɛma
brane;brane
brant;brant
bras d'honneur;bras d’honneur a wɔde yɛ adwuma
brash;brash a ɛyɛ hu
brass knuckles;kɔbere a wɔde yɛ nsateaa
brass;kɔbere
Brasília;Brasília na ɛwɔ hɔ
brat;brat
Bratislava;Bratislava na ɛwɔ hɔ
bratwurst;bratwurst a ɛyɛ den
bravado;bravado, akokoduru
brave;akokoɔduro
bravely;akokoduru so
bravery;akokoduru
bravo;bravo
brawl;ntɔkwaw
brawn;brawn
bray;bray
brazen bull;nantwinini a wɔde kɔbere ayɛ
brazen-faced;a n’anim yɛ brazen-faced
brazier;brazier a wɔde yɛ adwuma
brazil nut;brazil nut a wɔde yɛ aduan
Brazil;Brazil
Brazilian;Brazilni a ɔyɛ ɔbarima
brazilwood;brazil nnua a wɔde yɛ adwuma
Brazzaville;Brazzaville na ɛwɔ hɔ
breach of contract;apam a wobu so
breach of promise;bɔhyɛ a wobu so
breach;bu so
bread and circuses;paanoo ne asaw ahorow
bread;paanoo
breadboard;paanoo a wɔde yɛ paanoo
breadbox;paanoo adaka mu
breadcrumb;paanoo a wɔayam
breadfruit;paanoo a wɔde yɛ aduan
breadstick;paanoo a wɔde yɛ aduan
breadwinner;ɔhwɛfo
break a law;bu mmara bi so
break a leg;bubu nan bi
break a sweat;bubu fifiri bi
break bad;break bad
break bread;bubu paanoo
break down;abubu
break in;break in mu
break one's fast;obi bu ne mmuada
break out;bubu fi mu
break ranks;break ranks
break the bank;bubu sikakorabea no
break the ice;bubu nsukyenee no
break up;mutetew mu
break wind;break mframa
break-even point;break-even asɛm a ɛyɛ den
break-in;break-in a wɔde wɔn ho hyɛ mu
break;bu
breakable;a wotumi bubu
breakaway;breakaway
breakdown;abubuw
breakfast cereal;anɔpaduan a wɔde yɛ aburow
breakfast;anɔpa aduane
breaking news;amanneɛbɔ a ɛyɛ hu
breakout;breakout
breakthrough;nkɔso a ɛbae
breakwater;asorɔkye a ɛbubu
bream;bream a wɔfrɛ no bream
breast augmentation;nufu a wɔma ɛyɛ kɛse
breast cancer;nufu mu kokoram
breast implant;nufu a wɔde hyɛ nipadua mu
breast milk;nufusu a wɔde ma
breast pump;nufu mu pɔmpɛ
breast;nofoɔ
breastbone;nufu mu dompe
breastfeed;nufu a wɔde ma
breastfeeding;nufu a wɔde ma
breastplate;nufu mu aduru
breaststroke;nufu mu akisikuru
breastwork;nufu mu adwuma
breath;home
breathability;ahomegye a ɛma obi home
breathalyzer;afiri a wɔde hwɛ ahome
breathe;home
breather;ahomegyefo
breathing;ahome a wɔhome
breathtaking;a ɛyɛ nwonwa
breccia;breccia a ɛyɛ mmerɛw
Brechtian;Brechtianfo na ɔkyerɛwee
breech birth;breech awo a wɔde ma
breeches;breeches a wɔde hyɛ
breed;ase
breeder;ɔwofoɔ
breeze;mframa a ɛbɔ
breezy;mframa a ɛbɔ
brent goose;brent goose a ɔyɛ ɔkraman
Brescia;Brescia na ɔkyerɛwee
Brest;Brest na ɔkyerɛwee
brethren;anuanom
Breton;Breton kasa mu
breviary;breviary a wɔde kyerɛw nsɛm tiawa
brevier;brevier na ɛyɛ adwuma
brevity;nsɛm a ɛyɛ tiawa
brew;brew a wɔde yɛ nsa
brewer;brewer a ɔyɛ
brewery;beae a wɔyɛ nsa
brewing;brewing a wɔde yɛ nsa
Brexit;Brexit a wɔde bɛma
Brezhnev;Brezhnev na ɔkyerɛwee
briar;briar
bribe;adanmude a wɔde ma
bribery;adanmude a wɔde ma
BRIC;BRIC na ɔkyerɛwee
brick and mortar;birikisi ne atɛkyɛ
brick;breke
bricklayer;obi a ɔyɛ birikisi
brickyard;birikisi a wɔde yɛ adwuma
bricolage;bricolage a wɔde yɛ adwuma
bride;ayefrɔyere
bridegroom;ayeforokunu
bridesmaid;ayeforokunu a ɔyɛ ɔbea
bridge;twene
Bridget;Bridget na ɔkyerɛwee
Bridgetown;Bridgetown na ɛwɔ hɔ
bridle;bridle a wɔde di dwuma
brie;brie
brief;tiawa
briefcase;bag a wɔde kyerɛw nneɛma
briefly;tiawa bi mu
briefs;nsɛm ntiantiaa
brig;brig
brigade;brigade a ɛwɔ hɔ
brigand;ɔdebɔneyɛfo
brigandine;brigandine a ɔyɛ ɔbaabun
bright;hann
brilliance;brilliance a ɛyɛ nwonwa
brilliant;adenim
brillo pad;brillo pad a wɔde kyerɛw nsɛm
brim;brim
Brindisi;Brindisi na ɔkyerɛwee
brindled;brindled a wɔde ahyɛ mu
brine;brine a wɔde yɛ brine
bring about;de ba
bring home the bacon;fa bacon no bra fie
bring to a boil;fa ma ɛnhyew
bring to bear;fa bra ma wosoa
bring to justice;fa ba asɛnnibea
bring to light;de ba hann mu
bring up the rear;fa akyi no ba soro
bring up;fa bra
bring;fa bra
brink;brink
brioche;brioche na ɔkyerɛwee
Brisbane;Brisbane na ɛwɔ hɔ
brisk;brisk
brisket;brisket a wɔde yɛ nneɛma
briskly;ntɛmntɛm
bristle;bristle a ɛyɛ mmerɛw
bristletail;bristletail a ɛyɛ fɛ
Britain;Britain
British Columbia;British Columbia na ɛwɔ hɔ
British English;Britaniafo Engiresi kasa
British Isles;Britania Nsupɔw so
British;Britaniafo
Britisher;Britaniafo
Briton;Britaniafo
Brittany;Brittany na ɔkyerɛwee
brittle star;nsoromma a ɛyɛ mmerɛw
brittle;brittle a ɛyɛ mmerɛw
brittleness;brittleness a ɛyɛ mmerɛw
bro;nuabarima
broad bean;bean a ɛtrɛw
broad-winged hawk;ɔkraman a ne ntaban trɛw
broad;tɛtrɛɛ
broadband;broadband a wɔde di dwuma
broadcast;bɔ dawuro
broaden;trɛw mu
broadness;a ɛtrɛw
brocade;brocade a wɔde yɛ adwuma
broccoli;broccoli a wɔde yɛ nneɛma
brochure;brochure no mu
broiler;broiler a wɔfrɛ no broiler
broke;abu
brokeback;brokeback a wɔde wɔn ho hyɛɛ mu
broken heart;koma a abubu
broken record;kyerɛwtohɔ a abubu
broken;abu
broker;broker a ɔyɛ adwuma wɔ hɔ
brokerage;brokerage a wɔde di dwuma
bromide;bromide a wɔde yɛ adwuma
bromine;bromine a wɔde yɛ adwuma
bromocriptine;bromocriptine a wɔde di dwuma
bromophenol blue;bromophenol a ɛyɛ bruu
bronchial;ahurututu mu yare
bronchitis;ahurututu mu yare
bronchodilator;ahurututu mu ntini a ɛtrɛw
bronchospasm;ahurututu mu akisikuru
bronchus;ahurututu mu ntini
Bronze Age;Kɔbere Mmere no
bronze medal;kɔbere abasobɔde
bronze;kɔbere a wɔde yɛ adwuma
brooch;broch a wɔde hyɛ mu
brood;brood
brooding;brooding a wɔde susuw nneɛma ho
broody;broody a ɛyɛ mmerɛw
brook;asubɔnten no
broom;praeɛ
broomrape;broomrape a wɔde hyɛ obi nsa
bros before hoes;bros ansa na hoes
bros.;bros.
broth;broth a wɔde yɛ aduan
brothel;aguamandan
brother-in-law;akonta
brother;nuabarima
brotherhood;onuayɛ
brotherly;onuayɛ mu
brothers;anuanom
browbeat;browbeat a ɛyɛ fɛ
brown bear;ɔsebɔ a ne ho yɛ bruu
brown dwarf;brown dwarf a ɛyɛ bruu
brown falcon;ɔkraman a ne ho yɛ bruu
brown noser;hwene a ɛyɛ bruu
brown rat;ɔkraman a ne ho yɛ bruu
brown rice;aburow a ɛyɛ bruu
brown study;brown adesua
brown sugar;asikre a ɛyɛ bruu
brown woolly monkey;bonsu a ne ho yɛ bruu a ne ho yɛ bruu
brown;dodoeɛ
Brownian motion;Brownian nnyigyei a ɛkɔ so
brownie;brownie a wɔde yɛ aduan
brownish;a ɛyɛ bruu
brownnose;brownnose a ɛyɛ bruu
brownout;brownout a ɛyɛ bruu
browse;hwehwɛ nneɛma mu
Bruges;Bruges na ɔkyerɛwee
bruise;akuru a ɛyɛ kurukuruwa
Brumaire;Brumaire na ɔkyerɛwee
brunch;brunch a wɔde yɛ aduan
Brunei;Brunei na ɛwɔ hɔ
Bruneian;Bruneianfo de
brunette;brunette a ɔyɛ brunette
Bruno;Bruno na ɔkyerɛwee
brunost;brunost a wɔfrɛ no brunost
Brunswick;Brunswick na ɛwɔ hɔ
brush up;brush kɔ soro
brush;twitwi
brushstroke;brushstroke a wɔde hyɛ mu
brushtail possum;brushtail possum a ɛyɛ brushtail
brushwood;brushwood a wɔde yɛ adwuma
brusque;brusque a ɛyɛ brusque
brusquely;brusquely
Brusselian;Brusselifo kasa
Brussels sprout;Brussels a ɛyɛ frɔmfrɔm
Brussels;Brussels na ɛwɔ hɔ
brutal;atirimɔdensɛm
brutality;atirimɔdensɛm
brutally;atirimɔden so
brute;brute a ɛyɛ hu
Brutus;Brutus na ɔkyerɛwee
Bryansk;Bryansk na ɔkyerɛwee
Bryce;Bryce na ɔkyerɛwee
bryology;bryology ho adesua
bryophyte;bryophyte a wɔfrɛ no bryophyte a wɔfrɛ no bryophyte
Brythonic;Brythonicfo a wɔyɛ adwuma wɔ hɔ
bubble butt;bubble butt a ɛyɛ hu
bubble tea;bubble tii a wɔde yɛ
bubble;bubble a ɛyɛ hu
bubo;bubo
bubonic plague;bubonic ɔyaredɔm
bubonic;bubonic a ɛyɛ den
Bucalemu;Bucalemu na ɔkyerɛwee
Bucharest;Bucharest na ɛwɔ hɔ
buck;buck
bucket list;bokiti a wɔahyehyɛ
bucket;bokiti
Buckingham Palace;Buckingham Ahemfie
buckle up;buckle up, abɔ wo ho ban
buckle;buckle a wɔde hyɛ mu
buckler;buckler a ɔbɔ ne ho ban
buckwheat;buckwheat a wɔde yɛ aduan
bucolic;bucolic a ɛyɛ adwuma
bud;bud
Budapest;Budapest na ɛwɔ hɔ
Buddha's hand;Buddha nsa
Buddha;Buddha
Buddhahood;Buddhasom
Buddhic;Buddhafo kasa
Buddhism;Buddhasom
Buddhist Era;Buddhafo Bere no
Buddhist;Buddhafo
Buddhistic;Buddhafo de
buddy;adamfoɔ
budge;budge
budgerigar;budgerigar a wɔde di dwuma
budget;bɔgyete
budgetary;sikasɛm nhyehyɛe
budyonovka;budyonovka na ɔkyerɛwee
Buenos Aires;Buenos Aires na ɛwɔ hɔ
buff;buff
buffalo;buffalo a ɔyɛ ɔkraman
buffer solution;buffer ano aduru
buffer;buffer a wɔde siw ano
bufflehead;bufflehead a ɛyɛ fɛ
buffoon;buffoon a ɔyɛ ɔkwasea
bug spray;aduru a wɔde petepete mmoawa so
bug;aboawa bɔne
bughouse chess;bughouse chess a wɔde di dwuma
bugle;bugle a ɛyɛ hu
build;si
builder;ɔdansifo
building block;ɔdan a wɔde si dan
building blocks;adansi nneɛma
building material;adansi nneɛma
building site;beae a wɔresi dan
building society;ɔmanfo a wɔbɛkyekye
building;dan
built-in;a wɔasisi wɔ mu
Buin;Buin
Bujumbura;Bujumbura na ɔkyerɛwee
bukkake;bukkake
bulb;bɔlɔb
bulbul;bulbul a ɛyɛ den
Bulgaria;Bulgaria na ɛwɔ hɔ
Bulgarian Hound;Bulgariafo Ɔkraman
Bulgarian;Bulgaria kasa
bulge;bulge a ɛyɛ kɛse
bulimia;bulimia a ɛma obi nya ɔyare
bulimic;bulimic
bulk;dodoɔ mu
bulkhead;bulkhead a wɔde hyɛ mu
bulky;bulky
bull dyke;nantwinini dyke
bull market;nantwinini gua
bull run;nantwi mmirikatu
bull;nantwie barima
bulldog;bulldog a wɔfrɛ no bulldog
bulldozer;bulldozer a wɔde di dwuma
bullectomy;bullectomy a wɔde yɛ adwuma
bullet ant;bullet ant
bullet list;bullet list a wɔahyehyɛ
bullet train;keteke a wɔde atuo gu mu
bullet;tuo a wɔde tuo
bulletin board;amanneɛbɔ kyerɛwpon so
bulletin;bulletin a wɔde kyerɛw nsɛm
bulletproof vest;vest a atuo ntumi nkɔ mu
bulletproof;atuo ntumi nkɔ mu
bullfight;anantwinini a wɔko
bullfighter;nantwinini a ɔko
bullfighting;anantwinini a wɔko
bullfinch;nantwinini a wɔfrɛ no bullfinch
bullfrog;nantwi ɔkɔre
bullhorn;nantwinini abɛn
bullion;bullion a ɛyɛ den
Bullmastiff;Bullmastiff na ɔkyerɛwee
bullock;nantwinini
bullring;anantwinini atenae
bullseye;nantwinini aniwa
bullshit;nsɛm a ɛyɛ nkwaseasɛm
bully;osisifoɔ
bullying;ayayade a wɔyɛ
bulwark;bulwark a wɔde hyɛ mu
bum;bum
bumblebee;bumblebee
bumfuck nowhere;bumfuck wɔ baabiara
bumfuck;bumfuck na ɛyɛ
bummer;bummer
bump;dwoa
bumper car;kar a wɔde bamper ayɛ
bumper;bumper a ɛyɛ den
bumpkin;bumpkin a ɛyɛ hu
bumpy;bumpy a ɛyɛ den
bun;bun
bunch;saka
Bundestag;Bundestag na ɔkyerɛwee
bundle;saka
bundt cake;bundt keeki a wɔde yɛ
bung;bung
bungee jump;bungee ahuruhuruw
bungee jumping;bungee a wɔde huruw
bungee;bungee a wɔde yɛ adwuma
bungler;bungler a ɔyɛ ɔkwasea
bunion;bunion
bunk bed;mpa a wɔde da so
bunk;bunk
bunker;bunker a ɛwɔ hɔ
bunkhouse;bunkhouse a wɔde nneɛma gu mu
bunny girl;bunny abeawa a ɔyɛ ɔkraman
bunny;bunny a ɛyɛ fɛ
Bunsen burner;Bunsen a wɔde hyew nneɛma
bunt;bunt
bunting;bunting a wɔde yɛ adwuma
Bunuelian;Bunuelian kasa
buoy;buoy a wɔde yɛ adwuma
buoyancy;buoyancy a ɛtumi fa nsuo mu
buoyant;buoyant a ɛyɛ hu
burble;burble a ɛyɛ hu
burbot;burbot a wɔde yɛ adwuma
burden of proof;adansedi ho adesoa
burden;adesoa
burdensome;adesoa a ɛyɛ den
Burdigalian;Burdigalian kasa
burdock;burdock a wɔde yɛ nneɛma
bureau de change;bureau de nsakrae ho adwumayɛbea
bureau;bureau
bureaucracy;adwumayɛfo a wɔyɛ adwumaden
bureaucrat;adwumayɛfo panyin
bureaucratize;adwumayɛfo a wɔyɛ adwumaden
burg;burg
burgeon;burgeon a wɔfrɛ no burgeon
burglary;korɔnbɔ
burgle;burgle a wɔde bɔ nneɛma
burgomaster;burgomaster a wɔfrɛ no burgomaster
Burgundian;Burgundian kasa
burgundy;burgundy a ɛyɛ fɛ
burial chamber;amusiei dan
burial;asie
buried;siee
burka;burka
Burkina Faso;Burkina Faso na ɛwɔ hɔ
Burkinabe;Burkinabe na ɔkyerɛwee
burl;burl
burlap;burlap a wɔde yɛ ntama
burly;burly
Burma;Burma
Burmese;Burmafo kasa
burn down;hyew
burn one's bridges;hyew obi bridges
burn;hye
burned;hyewee
burner;ɔhyewfo
burnish;burnish a ɛyɛ hyew
burnoose;burnoose a ɛyɛ hyew
burnout;ɔhyew a ɛyɛ hyew
buro;buro
burocracy;burocracy a wɔde di dwuma
burocratic;burocratic a ɛyɛ adwuma
burp;burp
burr cell;burr nkwammoaa
burr;burr
burrito;burrito a wɔde yɛ adwuma
burro;burro
burrow;burrow
burrowing parrot;akɔre a ɔreyɛ abura
bursitis;bursitis a ɛma obi nya ɔyare
burst out laughing;ɔpaee serewee
burst;pae
Burundi;Burundi na ɛwɔ hɔ
Burundian;Burundifo de
bury the hatchet;sie agyan no
bury;sie
Buryat;Buryat na ɛwɔ hɔ
Buryatia;Buryatia na ɔkyerɛwee
bus bulb;bɔs bɔlɔb
bus route;bɔs kwan
bus shelter;bɔs dan a wɔde dabere
bus station;bɔs gyinabea
bus stop;bɔs gyinabea
bus;bɔɔso
Busan;Busan
busbar;busbar a wɔde yɛ adwuma
busby;busby a wɔde yɛ adwuma
bush dog;kwae mu kraman
bush;nwuram
bushel;bushel
Bushism;Bushism a wɔde di dwuma
Bushman;Bushman a ɔyɛ ɔbarima
bushmaster;kwae sohwɛfo
business as usual;adwumayɛ sɛnea wɔtaa yɛ no
business card;adwuma krataa
business park;adwumayɛbea a wɔyɛ adwuma wɔ hɔ
business trip;adwuma akwantu
business;dwadie
businessman;aguadifo
businesswoman;ɔbea aguadifo
busk;busk
busker;busker
bust;ɔbaa koko
bustard;bustard a ɔyɛ ɔbarima
buster;buster a ɛyɛ hu
bustle;gyegyeegye
busty;busty a ɛyɛ den
busy work;adwuma a adagyew nnim
busy;adaagye nni hɔ
busybody;obi a onni adagyew
but;nanso
butadiene;butadiene a wɔde yɛ adwuma
butane;butane a wɔde yɛ adwuma
butanol;butanol a wɔde di dwuma
butanone;butanone a wɔde yɛ adwuma
butcher block;butcher block
butcher's hook;butcher's hook a wɔde hyɛ mu
butcher's;namkumfo de
butcher;namkumfo
butchershop;namtɔnbea a wɔtɔn nam
butene;butene
butler;butler a ɔyɛ adwuma
butt heads;butt ti ahorow
butt in;butt wɔ mu
butt;butt
butter dish;bɔta a wɔde yɛ aduan
butter fingers;bɔta nsateaa
butter up;bɔta a wɔde hyɛ mu
butter;bɔta
buttercup;bɔta kuruwa
butterfingers;ntontom nsateaa
butterfly effect;ntontom nkɛntɛnso
butterfly stroke;ntontom a wɔde wɔn ho hyɛ mu
butterfly;afafrantɔ
buttermilk;bɔta a wɔde yɛ aduan
butternut squash;butternut squash a wɔde yɛ aduan
butterscotch;bɔta a wɔde yɛ nneɛma
buttery;a wɔde bɔta ayɛ
butthurt;butthurt na ɛyɛ
buttock;akyi berɛmo
button mushroom;button mushroom a wɔde yɛ aduru
button up;button no kɔ soro
button;bɔtom
buttonhole;buttonhole a wɔde hyɛ mu
buttress;buttress a wɔde hyɛ mu
butyl;butyl a wɔde yɛ adwuma
butylene;butylene a wɔfrɛ no butylene
butyric;butyric a wɔde di dwuma
buxom;buxom
buy into;tɔ kɔ mu
buy time;tɔ bere
buy-in;adetɔ-mu
buy;tɔ
buyable;buyable
buyer;adetɔfo
buzz-phrase;buzz-kasamu a wɔde di dwuma
buzz;buzz a ɛyɛ dede
buzzard;buzzard a ɔyɛ ɔkraman
buzzcut;buzzcut a wɔde di dwuma
buzzer;buzzer a wɔde bɔ nnwom
buzzword;asɛmfua a wɔde di dwuma kɛse
by all means;ɔkwan biara so
by and large;ne nyinaa mu no
by chance;nea ɛbae ara kwa
by default;sɛnea wɔahyɛ no
by dint of;denam dint of so
by far;akyirikyiri
by God;Onyankopɔn nam so
by hand;nsa a wɔde di dwuma
by heart;wɔ wɔn tirim
by hook or by crook;denam hama so anaasɛ ɛnam kronkron so
by means of;denam
by no means;ɔkwan biara so
by oneself;obi ankasa na ɔyɛ
by the Grace of God;ɛnam Onyankopɔn Adom so
by the way;kwan ho
by-product;by-product a ɛba
by;mu
Byblos;Byblos na ɔkyerɛwee
bye-bye;bye-bye
bye;akyire
Byelorussian SSR;Byelorusfoɔ SSR
bylaw;mmara a ɛwɔ hɔ
bylina;bylina na ɔkyerɛwee
byname;edin a wɔde frɛ no
bypass;bypass a wobɛfa so
byproduct;byproduct a ɛba
byre;byre
bystander;obi a ɔhwɛ hɔ
byte;byte a wɔde yɛ adwuma
byword;asɛmfua a wɔde gyina hɔ ma
Byzantine Empire;Byzantine Ahemman no
Byzantine;Byzantiumfoɔ
Byzantium;Byzantium na ɛwɔ hɔ
béchamel sauce;béchamel a wɔde yɛ aduan
Bézier curve;Bézier curve a ɛwɔ hɔ
bête noire;bête noire a wɔde kyerɛw nsɛm
