s.e., s.e;e.g.
sovnarkhoz na ɔkyerɛwee;sovnarkhoz
sow aba;bear fruit
sow aba;fructify
soya;soy
soya a wɔde yɛ aduan;soy sauce
soya nufusu;soy milk
soya nufusu yɛfo;soy milk maker
soyabean a wɔde yɛ nneɛma;soybean
soyaburger a wɔde yɛ aduan;soyburger
soylent a ɛyɛ den;soylent
soyuz na ɔkyerɛwee;Soyuz
spa;spa
spade a wɔde di dwuma;spade
spades a wɔde yɛ nneɛma;spades
spadix a wɔfrɛ no spadix;spadix
spaghetti a wɔde yɛ nneɛma;spaghetti
spaghetti atɔe famfo;spaghetti western
spaghetti squash a wɔde yɛ aduan;spaghetti squash
spain;Spain
spain ahemman no;Kingdom of Spain
spain foforo;New Spain
spain guinea na ɛwɔ hɔ;Spanish Guinea
spain hyɛn gyinabea;Port of Spain
spain kasa mu guinea kasa;Spanish Guinean
spain nsu mu ɔkraman;Spanish Water Dog
spainfo akohyɛn a wɔde di dwuma;Spanish Armada
spainfo chestnut a wɔfrɛ no chestnut;Spanish chestnut
spainfo nwansena;Spanish fly
spainfo omelet a wɔfrɛ no omelet;Spanish omelet
spainfo omelette a wɔde yɛ nneɛma;Spanish omelette
spainfoɔ netherlands;Spanish Netherlands
spallation a ɛyɛ hu;spallation
spangled kookaburra a ɛyɛ fɛ;spangled kookaburra
spanglish kasa;Spanglish
spania kasa dedaw;Old Spanish
spaniani a ɔyɛ ɔbarima;Spaniard
spaniel a wɔfrɛ no spaniel;spaniel
spanish;Spanish
spank a wɔde bɔ obi;spank
spanner a wotumi sesa mu;adjustable spanner
spanner a wɔde hyɛ mu;spanner
spare part;spare part
spark a ɛyɛ hyew;spark
spark gap a ɛyɛ spark gap;spark gap
spark plug a wɔde hyɛ mu;spark plug
sparkle a ɛyɛ hyew;sparkle
sparkler a ɛyɛ hyew;sparkler
sparse;sparse
sparsity a ɛyɛ den;sparsity
sparta na ɛwɔ hɔ;Sparta
spartacus na ɔkyerɛwee;Spartacus
spartan kasa mu;Spartan
spasm a ɛyɛ mmerɛw;spasm
spasmodic a ɛyɛ mmerɛw;spasmodic
spat;spat
spatula a wɔde hyɛ nipadua mu;spatula
spawn a wɔde wɔn ho hyɛ mu;spawn
spay;spay
specialization a wɔde yɛ adwuma;specialization
specialty;specialty
speciation a wɔde kyerɛkyerɛ nneɛma mu;speciation
speciesism a wɔde di dwuma;speciesism
specious a ɛyɛ soronko;specious
speck a ɛyɛ nsensanee;speck
specter a ɛyɛ hu;specter
spectrometer a wɔde kyerɛ sɛnea nneɛma te;spectrometer
spectrometry a wɔde kyerɛ sɛnea nneɛma te;spectrometry
spectroscope a wɔde hwɛ nneɛma a ɛwɔ wim;spectroscope
spectrum a ɛyɛ fɛ;spectrum
speculum a ɛyɛ nwonwa;speculum
speleologist ho ɔbenfo;speleologist
speleology ho adesua;speleology
speleothem, a ɛyɛ mmerɛw;speleothem
spelunk a wɔde kyerɛw nsɛm;spelunk
spelunking a wɔde kyerɛw nsɛm;spelunking
sperm whale a wɔfrɛ no sperm whale a wɔfrɛ no sperm whale;sperm whale
spermatozoid a ɛyɛ nkwaboaa;spermatozoid
spermatozoon a ɛwɔ hɔ;spermatozoon
spew a wɔtow gu;spew
sphalerite a wɔfrɛ no sphalerite;sphalerite
sphenoid dompe a ɛyɛ sphenoid;sphenoid bone
sphincter a ɛma nipadua no yɛ adwuma;sphincter
sphinx a wɔfrɛ no sphinx;sphinx
sphygmomanometer a wɔde kyerɛ sɛnea obi ho yɛ hyew;sphygmomanometer
spicebush a ɛyɛ nnuhuam;spicebush
spiffy a ɛyɛ spiffy;spiffy
spigot a wɔde yɛ aduru;spigot
spikenard a wɔde yɛ nneɛma;spikenard
spillikins a wɔde nsu gu mu;spillikins
spin oduruyɛfo;spin doctor
spin-off a wɔde hyɛ mu;spin-off
spinach;spinach
spindle a ɛyɛ spindle;spindle
spindly a ɛyɛ spindly;spindly
spinel a ɛyɛ spinel;spinel
spinet a wɔde hyɛ nipadua mu;spinet
spinning top;spinning top
spinor a ɛyɛ spinor;spinor
spiral a ɛyɛ nkuruwankuruwa;spiral
spire;spire
spirochete a wɔde yɛ aduru;spirochete
spirometer a wɔde kyerɛ sɛnea nneɛma te;spirometer
spite;spite
spittoon a wɔteɛteɛm;spittoon
splanchnic a ɛyɛ hu;splanchnic
splash a ɛyɛ hu;splash
splash fi adi;splash out
splatter a wɔde bɛpetepete so;splatter
splenectomy a wɔde twa akyi berɛmo mu;splenectomy
splenetic a ɛyɛ mmerɛw;splenetic
splenic a ɛwɔ akyi berɛmo mu;splenic
splice a wɔde hyɛ mu;splice
splint a wɔde hyɛ mu;splint
splurge a wɔde di dwuma;splurge
spoilsport a wɔsɛe ade;spoilsport
spondee na ɛyɛ;spondee
spondylosis a ɛma obi ho kyere no;spondylosis
sponge a wɔde yɛ aduru;sponge
sponge keeki a wɔde yɛ;sponge cake
sponger a wɔfrɛ no sponger;sponger
spongy a ɛyɛ fɛ;spongy
sponsor a ɔboaa no;sponsor
spoof a wɔde di dwuma;spoof
spook;spook
spool;spool
spoon a wɔde ahyɛ mu;spoonful
spoon lure a wɔde twetwe nneɛma;spoon lure
spoon-feed a wɔde ma;spoon-feed
spoonbill a wɔde yɛ nneɛma;spoonbill
spoonerism a wɔde di dwuma;spoonerism
sporangium a wɔfrɛ no sporangium a wɔfrɛ no sporangium;sporangium
spore a ɛwɔ nipadua no mu;spore
sporophyte a ɛma nipadua no yɛ adwuma;sporophyte
spotted;spotted
spotted flycatcher a ɔkyere nwansena;spotted flycatcher
spout a wɔde hyɛ mu;spout
sprachbund a wɔde hyɛ nipadua mu;sprachbund
sprachgefühl na ɔkyerɛwee;Sprachgefühl
sprat a wɔfrɛ no sprat;sprat
spratly nsupɔw so;Spratly Islands
spreadsheet a wɔde kyerɛw nsɛm;spreadsheet
springboard a wɔde tu kwan;springboard
sprinkler a wɔde petepete nneɛma so;sprinkler
sprocket a wɔde hyɛ nipadua mu;sprocket
spruce a wɔfrɛ no spruce;spruce
sprue a wɔde yɛ adwuma;sprue
spunk a wɔde ayɛ;spunk
spur;spur
spur nkwammoaa;spur cell
spurge a ɛyɛ den;spurge
spurn;spurn
sputnik a wɔde di dwuma;sputnik
spyglass a wɔde yɛ nneɛma;spyglass
spyware a wɔde di dwuma;spyware
squab a ɛyɛ squab;squab
squad a wɔde wɔn ho hyɛ mu;squad
squadron a wɔde wɔn ho hyɛ mu;squadron
squall line a ɛyɛ hu;squall line
squamous a ɛyɛ mmerɛw;squamous
squaroid a ɛyɛ ahinanan;squaroid
squash a wɔde yɛ nneɛma;squash
squat a wɔde wɔn ho hyɛ mu;squat
squatter a ɔyɛ ɔkwasea;squatter
squawk a ɛyɛ hu;squawk
squeak;squeak
squeal;squeal
squeamish a ɛyɛ squeamish;squeamish
squeegee a wɔde twitwiw nneɛma;squeegee
squeegee mop a wɔde yɛ nneɛma;squeegee mop
squelch a wɔde hyɛ mu;squelch
squid kɛse bi a wɔfrɛ no squid;giant squid
squiffy a ɛyɛ squiffy;squiffy
squinch a wɔde wɔn ho hyɛ mu;squinch
squire a ɔyɛ ɔsraani;squire
squirm a ɛyɛ squirm;squirm
squirrel bonsu a ɔyɛ ɔkraman;squirrel monkey
sra;visit
sra no;anoint
sraadi a wɔde wɔn kɔ sraadi;conscript
sraadi a wɔde wɔn kɔ sraadi;conscription
srade a wɔde hyɛ mu;grease
srade a wɔde sra so;lubricate
srade a wɔde srade ayɛ;lubricous
srade a wɔde srade gu mu;lubrication
srade a wɔde tua ho ka;grease payment
srade a wɔde yɛ nufusu;grease nipple
srade a wɔde yɛ srade;fatten
srade a wɔde yɛ srade;lard
srade a wɔde yɛ srade;lubricant
srade a wɔfrɛ no catshark;fat catshark
srade a wɔkyerɛw;drafting
srade a wɔtwe fi nipadua mu;liposuction
srade a ɔyɛ ɔkraman;fat cat
srade a ɛwɔ mogya mu;cholesterol
srade a ɛwɔ mu;greasy
srade a ɛwɔ nipadua no mu;adipose tissue
srade a ɛwɔ nipadua no mu;fatty acid
srade a ɛyɛ den;adiposity
srade a ɛyɛ srade;fatty
srade a ɛyɛ srade;sebaceous
sri lanka na ɛwɔ hɔ;Sri Lanka
sri lankafo;Sri Lankan
srinagar na ɛwɔ hɔ;Srinagar
srɛsrɛ;beseech
srɛsrɛ;implore
srɛsrɛ;plead
srɛsrɛ;supplicate
srɛsrɛ ade;beg
sss;sss
st;st
stably;stably
stag;stag
stag nwansena;stag beetle
stag-beatle a wɔfrɛ no stag-beatle;stag-beetle
stage akwankyerɛ;stage direction
stage so ehu;stage fright
stage-ɔkyerɛkyerɛfo;stage-coach
stagflation a ɛkɔ soro;stagflation
stagger;stagger
stagnate;stagnate
stainless a ɛnyɛ den;stainless
stake out;stake out
stakhanovism a wɔde di dwuma;Stakhanovism
stakhanovitefo a wɔyɛ adwuma wɔ hɔ;Stakhanovite
stalactite a wɔde yɛ aduru;stalactite
stalagmite a wɔfrɛ no stalagmite;stalagmite
stale;stale
stalemate a ɛwɔ hɔ;stalemate
stalin na ɔkyerɛwee;Stalin
stalinfo a wɔyɛ adwuma wɔ hɔ;Stalinism
stalinfo a wɔyɛ stalinfo;Stalinist
stalingrad na ɔkyerɛwee;Stalingrad
stalker a ɔyɛ ɔbarima;stalker
stamen a ɛyɛ stamen;stamen
stammer a ɛyɛ mmerɛw;stammer
stamp a wɔde mena;postage stamp
stamp hinge a wɔde yɛ adwuma;stamp hinge
stamp ho tow a wɔbɔ;stamp duty
stampede a wɔde tu mmirika;stampede
stamping asase so;stamping ground
stanchion a ɛyɛ den;stanchion
standardize;standardise
standoffish a wɔde gyina hɔ;standoffish
stanislaus na ɔkyerɛwee;Stanislaus
stanza a wɔde di dwuma;stanza
stapedius a wɔfrɛ no stapedius;stapedius
stapler a wɔde hyɛ nneɛma mu;stapler
starch a wɔde yɛ aduru;starch
stark raving abɔdamfo;stark raving mad
starling a wɔfrɛ no starling;starling
start button no;Start button
starter;starter
starthistle a wɔde hyɛ ase;starthistle
startup;startup
stash a wɔde asie;stash
stasis a ɛyɛ den;stasis
stat;stat
static a ɛnyɛ adwuma;static
statics a ɛyɛ statics;statics
station teaseɛnam;station wagon
statism ho nimdeɛ;statism
statist ho nimdefo;statist
statolith a wɔfrɛ no statolith;statolith
stator a wɔde hyɛ mu;stator
staunch, a ɔyɛ den;staunch
staurolite a wɔfrɛ no staurolite;staurolite
stave;stave
stavesacre a wɔde yɛ adwuma;stavesacre
stavropol na ɔkyerɛwee;Stavropol
steamer ananse a wɔfrɛ no steamer;steamer duck
steamroller a wɔde twitwiw nsu mu;steamroller
steamy a ɛyɛ hyew;steamy
stearin a wɔde di dwuma;stearin
steatosis a ɛma obi ho yɛ hyew;steatosis
steer a wɔde di dwuma;steer
stefano;Stephen
steganography a wɔde kyerɛw nsɛm;steganography
stegosaur a wɔfrɛ no stegosaur;stegosaur
stele;stele
stemmatics a wɔde kyerɛw nsɛm;stemmatics
stencil a wɔde yɛ nneɛma;stencil
stendhalian na ɔkyerɛwee;Stendhalian
stenography a wɔde kyerɛw nsɛm;stenography
stenosis a ɛyɛ den;stenosis
stent a wɔde hyɛ mu;stent
stentorian ho ɔbenfo;stentorian
stephanie na ɔkyerɛwee;Stephanie
steppe a ɛwɔ hɔ;steppe
stepwell a ɛyɛ den;stepwell
stereo;stereo
stereochemistry a wɔde kyerɛkyerɛ nneɛma mu;stereochemistry
stereoisomerism a wɔde di dwuma;stereoisomerism
stereotomy a wɔde di dwuma;stereotomy
stereotype;stereotype
stereotypical;stereotypical
sterile;sterile
sterilization a wɔde ma;sterilization
sterilize a wɔde yɛ aduru;sterilize
steroid a wɔde di dwuma;steroid
steroidogenesis a ɛma nipadua no yɛ adwuma;steroidogenesis
steroidogenic a ɛma nipadua no yɛ adwuma;steroidogenic
stertor a wɔde di dwuma;stertor
stertorous a ɛyɛ den;stertorous
stevedore a wɔde yɛ adwuma;stevedore
stevia a wɔfrɛ no stevia;stevia
stew a wɔde ayɛ aduan;stew
stewpot a wɔde yɛ aduan;stewpot
stia a wɔde di dwuma;steering wheel
stia a wɔde di dwuma;steering
stibnite a wɔde di dwuma;stibnite
stibonium a ɛyɛ den;stibonium
stick fi adi;stick out
sticker a wɔde kyerɛw nsɛm;sticker
stiffen a ɛyɛ den;stiffen
stiffness a ɛyɛ den;stiffness
stifle a wɔde hyɛ obi mu;stifle
stifling a wɔde hyɛ obi mu;stifling
stigmatize a wɔde di dwuma;stigmatize
stilbene a wɔde yɛ nnuru;stilbene
stilt a wɔde yɛ adwuma;stilt
stilted;stilted
stinger a ɛyɛ stinger;stinger
stingray a wɔfrɛ no stingray;stingray
stink;stink
stinkbomb a ɛyɛ hu;stinkbomb
stint a wɔde yɛ adwuma;stint
stipular a wɔde ahyɛ mu;stipular
stipule a wɔde ahyɛ mu;stipule
stir-fry a wɔde hyɛ mu;stir-fry
stirling engine a wɔde yɛ adwuma;Stirling engine
stirrup a wɔde hyɛ mu;stirrup
stitch a wɔde hyɛ mu;stitch
stochastic a wɔde di dwuma;stochastic
stochastics a wɔde kyerɛw nsɛm;stochastics
stock a wɔde nsuo ahyɛ mu ma;watered stock
stock a wɔpɛ;preferred stock
stock gua a ɛkɔ fam;stock market crash
stock gua so;stock market
stock suban;stock character
stock up;stock up
stockade a wɔde yɛ nneɛma;stockade
stockbroker a ɔtɔn nneɛma;stockbroker
stockfish a wɔfrɛ no stockfish;stockfish
stockholm na ɛwɔ hɔ;Stockholm
stockholm yare a ɛma obi nya ɔyare no;Stockholm syndrome
stocking a wɔde yɛ nneɛma;stocking
stocky a ɛyɛ den;stocky
stodgy a wɔde di dwuma;stodgy
stoic, na ɛyɛ stoic;stoic
stoical a wɔde di dwuma;stoical
stoically so;stoically
stoichiometry a wɔde kyerɛw nsɛm;stoichiometry
stoicism a wɔde di dwuma;stoicism
stoke a wɔde yɛ adwuma;stoke
stoker a wɔfrɛ no stoker;stoker
stolid a ɛyɛ den;stolid
stoma;stoma
stomp a wɔde gyina so;stomp
stonechat a wɔde di dwuma;stonechat
stonehenge a wɔde yɛ nneɛma;Stonehenge
stooge a wɔfrɛ no stooge;stooge
stop-motion a wɔde gyina hɔ;stop-motion
stopcock a wɔde gyina hɔ;stopcock
stork a wɔfrɛ no stork;stork
stoutness a ɛyɛ den;stoutness
stow a wɔde sie;stow
stowaway a wɔde gyina hɔ;stowaway
strabismus a ɛma obi ho yɛ hyew;strabismus
strabo na ɔkyerɛwee;Strabo
stracciatella a ɛyɛ mmerɛw;stracciatella
straddle a wɔde gyina so;straddle
stradivarius a wɔfrɛ no stradivarius na ɔkyerɛwee;Stradivarius
straggler a ɔde ne ho to so;straggler
strainer a wɔde yiyi mu;strainer
straitjacket a ɛyɛ den;straitjacket
strand;strand
stranglehold a wɔde hyɛ obi nsa;stranglehold
strangury a ɛyɛ nwonwa;strangury
strap-on a wɔde abɔ so;strap-on
strappado, na ɛyɛ strappado;strappado
strasbourg na ɛwɔ hɔ;Strasbourg
strasserism a wɔde di dwuma;Strasserism
stratagem a wɔde di dwuma;stratagem
stratify a wɔde hyɛ mu;stratify
stratigraphy a wɔde kyerɛw nsɛm;stratigraphy
stratocumulus a ɛwɔ nipadua no mu;stratocumulus
stratopause a wɔde gyina akyi;stratopause
stratosphere a ɛwɔ soro;stratosphere
stratotype a ɛyɛ stratotype;stratotype
stratum a ɛyɛ stratum;stratum
stratus a ɛwɔ nipadua no mu;stratus
straw poll a wɔde yɛ nhwehwɛmu;straw poll
strawberry dua a wɔfrɛ no strawberry dua;strawberry tree
streaming a wɔde fa nsu mu;streaming
streamline a ɛyɛ mmerɛw;streamline
strep menewa mu ntini;strep throat
streptococcus a ɛma obi nya ahoɔden;streptococcus
stretch agyiraehyɛde;stretch mark
stretcher a wɔde hyɛ nipadua mu;stretcher
stretcher-bearer a ɔsoa adeɛ;stretcher-bearer
strew a wɔde bɛpetepete;strew
stricture a ɛyɛ den;stricture
strigil a wɔde hyɛ obi nsa;strigil
strike out;strike out
strikebreaker a ɛyɛ adwuma;strikebreaker
strip mfoninitwa afiri;strip cartoon
strip poker a wɔde yi wɔn ho;strip poker
stripper a ɔtwetwe ne ho;stripper
strobilus a wɔfrɛ no strobilus;strobilus
stroboscope a wɔde hwɛ ade;stroboscope
stroganoff a wɔde di dwuma;stroganoff
stroke nhyehyɛe;stroke order
stroller a wɔde fa mmofra;stroller
stromal a ɛyɛ stromal;stromal
stromatolite a wɔfrɛ no stromatolite a wɔfrɛ no stromatolite;stromatolite
strontium a wɔfrɛ no strontium a wɔfrɛ no strontium;strontium
stroopwafel a wɔde di dwuma;stroopwafel
strum;strum
strumpet a wɔbɔ;strumpet
strut;strut
strut obi nneɛma;strut one's stuff
strɔɔbɛri;strawberry
sts;STS
stub;stub
stubble a ɛyɛ nnuadewa;stubble
stucco a wɔde yɛ stucco;stucco
stud;stud
studio a wɔde yɛ adwuma;studio
stuffy a ɛyɛ den;stuffy
stump;stump
stumped;stumped
stun a ɛyɛ nwonwa;stun
stunner a ɛyɛ nwonwa;stunner
stunt a wɔde yɛ nneɛma;stunt
stunt mmɔho abien;stunt double
stupa;stupa
stupefy a ɛyɛ hu;stupefy
stupor;stupor
sturgeon a wɔfrɛ no sturgeon a wɔfrɛ no sturgeon;sturgeon
stye;stye
stylish a ɛyɛ fɛ;stylish
stylistics a wɔde yɛ nneɛma;stylistics
stylite a wɔde yɛ nneɛma;stylite
stylobate a wɔde yɛ ade;stylobate
stylus a wɔde kyerɛw nsɛm;stylus
styptic pɛnsere a wɔde di dwuma;styptic pencil
styria a ɛwɔ hɔ;Styria
styrofoam a wɔde yɛ aduru;styrofoam
styx a wɔfrɛ no styx;Styx
su;attribute
su;characteristic
su;cry
su;feature
su;weep
su a wɔde yɛ ade;disposition
su a wɔde yɛ ade;habituation
su a ɛfa su ho;attributive
su a ɛma obi yɛ ade tra so;predisposition
su a ɛma obi yɛ ade tra so;proclivity
su pa ahorow ason;seven virtues
su wɔ nufusu a ahwie agu ho;cry over spilt milk
sua;learn
sua;study
sua;young
suaa ade;learned
suaa boseabɔ;learned borrowing
suahunu;experience
suapɔn;university
suasua;emulate
suasua;imitate
suave;suave
sub;sub
sub- 1999 mu.;sub-
sub-zero na ɛwɔ hɔ;sub-zero
subaltern adesua ahorow;subaltern studies
suban;attitude
suban;behavior
suban;behaviour
suban;character
suban;conduct
suban;habit
suban;trait
suban a wɔde yɛ ade;demeanor
suban a ɛma obi yɛ ade;temperament
suban a ɛnteɛ;misbehave
suban a ɛnyɛ agofomma;non-player character
suban bi;tend
suban bɔne;bad-mannered
suban bɔne;ill-mannered
suban ho;behavioral
suban ho adwene;behaviorism
suban ho amnesia;character amnesia
suban ho nkyerɛkyerɛmu;characterization
suban ho nyansahu;behavioural science
suban mu ahokyere;behavioral crisis
suban pa;decent
suban pa;good manners
suban pa;manners
suban pa;virtuous
suban pa a ɛwɔ ɔdan mu;dormitive virtue
subarachnoid ahunmu;subarachnoid space
subatomic a ɛwɔ hɔ;subatomic
subatomic abɔde mu nneɛma nketenkete;subatomic particle
subclinical;subclinical
subconscious a ɛwɔ adwene mu;subconscious
subcontract a wɔde yɛ adwuma;subcontract
subculture (amammerɛ nketewa).;subculture
subdomain a ɛwɔ hɔ;subdomain
subduction beae a ɛwɔ;subduction zone
subfolder a wɔde kyerɛw nsɛm;subfolder
subgenital a ɛwɔ akyi;subgenital
subgenre a wɔde kyerɛw nsɛm;subgenre
subimago a ɛwɔ hɔ;subimago
subjunctive adwene a ɛwɔ asɛm no mu;subjunctive mood
sublease a wɔde ma;sublease
sublimate a ɛyɛ den;sublimate
sublimation a wɔde yɛ nneɛma;sublimation
subliminal a wɔde wɔn adwene bu;subliminal
sublimity a ɛkorɔn;sublimity
submachine gun a wɔde di dwuma;submachine gun
subnormal;subnormal
subonto;boat
suborbital a ɛwɔ akyi;suborbital
suborder;suborder
suboxide a wɔde yɛ adwuma;suboxide
subprefect a ɔyɛ ɔmanpanyin;subprefect
subrogate a wɔde si ananmu;subrogate
subscript a wɔde kyerɛw nsɛm;subscript
subset ketewaa bi;subset
subsidence a ɛkɔ fam;subsidence
subspecies a ɛwɔ hɔ;subspecies
substantivize a ɛyɛ nokware;substantivise
substation a ɛwɔ hɔ;substation
substrate a wɔde yɛ ade;substrate
subsume a wɔde hyɛ ase;subsume
subtrahend a wɔde hyɛ obi nsa;subtrahend
subversive;subversive
subvert;subvert
succinic acid a wɔde yɛ aduru;succinic acid
succubus a ɛyɛ hu;succubus
suck off;suck off
suck up;suck up
sucker;sucker
sucralose a wɔde yɛ aduru;sucralose
suction a wɔtwe;suction
sudan;Sudan
sudan kesee fam;South Sudan
sudanfo kasa;Sudanese
sudeten na ɛyɛ;Sudeten
sudoku;sudoku
suds a ɛyɛ hu;suds
suede a wɔde yɛ nneɛma;suede
suez asubɔnten no mu;Suez Canal
suez na ɔkyerɛwee;Suez
suffragette a wɔde tow aba;suffragette
sufism a wɔde di dwuma;Sufism
sugarloaf bepɔw so;Sugarloaf Mountain
suggestible;suggestible
suhunu soronko;adventure
suhyɛn;ship
suhyɛn;vessel
suhyɛnnyinaeɛ;port
suit a ɛwɔ afã abiɛsa;three-piece suit
suit a ɛyɛ den;strong suit
suite;suite
suite a ɛwɔ afã abiɛsa;three-piece suite
sukhumi na ɔkyerɛwee;Sukhumi
sukooko a ɛwɔ bon no mu;lily of the valley
sukrose a wɔde yɛ adwuma;sucrose
sukuu;school
sukuu a wɔankɔ sukuu;truancy
sukuu a wɔawie;graduate school
sukuu a wɔda mu fã bi;semi-boarding school
sukuu a wɔde mmofra kɔtra mu;boarding school
sukuu a wɔde susuw nneɛma ho;school of thought
sukuu a wɔpaw wɔn;selective school
sukuu a wɔyɛ no daa;normal school
sukuu adwuma;schoolwork
sukuu bɔs;school bus
sukuu bɔs yɛ kɔkɔɔ;school bus yellow
sukuu mu akraman;school shark
sukuu ntade;school uniform
sukuu panyin;headmaster
sukuuni abofra;schoolchild
sukuuni yɔnko;schoolmate
sukuupɔn a ɛto so abiɛsa;tertiary
sukuupɔn mu adesua;Universiade
sukuupɔn no mu;campus
sukwiide;squid
sukyerɛmma a wɔde bunting;snow bunting
sukyerɛmma a wɔde yɛ afuw;snow plow
sukyerɛmma a wɔde yɛ nneɛma;snowclone
sukyerɛmma a wɔyɛ;snowmaking
sukyerɛmma a ɔyɛ ɔkraman;snowy owl
sukyerɛmma a ɛtɔ;snowdrop
sukyerɛmma a ɛtɔ;snowfall
sukyerɛmma a ɛyɛ hu;snowflake
sukyerɛmma a ɛyɛ hu;snowstorm
sukyerɛmma a ɛyɛ kurukuruwa;snow globe
sukyerɛmma akata so;snow-covered
sukyerɛmma aprɛm;snow cannon
sukyerɛmma cone;snow cone
sukyerɛmma fitaa;Snow White
sukyerɛmma hemmaa;Snow Queen
sukyerɛmma nipa;snowman
sukyerɛmma nipa a ɔyɛ akyide;abominable snowman
sukyerɛmma nkɔnsɔnkɔnsɔn;snow chain
sukyerɛmma pea;snow pea
sukyerɛmma so akɔre;snow goose
sukyerɛmma so asono;snow leopard
sukyerɛmma so bɔɔl;snowball
sukyerɛmma so bɔɔl a wɔko;snowball fight
sukyerɛmma so mmirikatu;snowboarding
sukyerɛmma so mpaboa;snowshoe
sukyerɛmma tɔe wɔ ase;snowed under
sukyerɛmma-fitaa;snow-white
sukɔm de;thirsty
sukɔm de me;I'm thirsty
sukɔm dee;thirst
sulfate a wɔde yɛ adwuma;sulfate
sulfhydryl a wɔde yɛ nneɛma;sulfhydryl
sulfide a wɔde yɛ adwuma;sulfide
sulfite a wɔde yɛ nneɛma;sulfite
sulfonamide a wɔde yɛ aduru;sulfonamide
sulfur a wɔde yɛ nneɛma;sulfur
sulfur a ɛwɔ mu;sulfurous
sulfur dioxide a wɔde yɛ nneɛma;sulfur dioxide
sulfur oxide a wɔde yɛ nneɛma;sulfur oxide
sulfurate a wɔde yɛ aduru;sulfurate
sulk;sulk
sullenness a ɛyɛ hu;sullenness
sulphuric a wɔde yɛ nneɛma;sulfuric
sulphuric acid a wɔde yɛ aduru;sulphuric acid
sultan a ɔyɛ ɔsraani;sultan
sultana na ɛyɛ sultana;sultana
sultanate a wɔde di dwuma;sultanate
sultry a ɛyɛ hyew;sultry
sum;dark
sum;gloomy
sum;shade
sum a ɛyɛ sum;bleakness
sum ase;clandestine
sum ase;covert
sum ase;furtive
sum ase;sneaky
sum ase;stealthy
sum ase;surreptitious
sum ase;undercover
sum ase a wowia;stealth
sum ase aguadi;smuggle
sum ase aguadi;smuggling
sum ase aguadifo;smuggler
sum ase polisifo;secret police
sum kabii;gloom
sum mu;darkly
suma;disguise
sumac;sumac
sumatra asono a wɔyɛ asono;Sumatran rhinoceros
sumatra na ɛwɔ hɔ;Sumatra
sumatra ɔsebɔ;Sumatran tiger
sumer na ɔkyerɛwee;Sumer
sumeria kasa;Sumerian
sumiiɛ;pillow
sump;sump
sunk cost;sunk cost
sunlounger a wɔde tena owia mu;sunlounger
sunnifoɔ;Sunni
sunoo;snow
sunroof a wɔde yɛ adwuma;sunroof
sunsum;shadow
sunsuma a ɛkata so;overshadow
sunsuma a ɛwɔ hɔ;shadoof
sunsuma a ɛwɔ hɔ;shady
suona;suona
super bowl a ɛyɛ fɛ;Super Bowl
super kuruwa;super cup
super tuesday na ɛyɛ;Super Tuesday
superannuate a wɔde di dwuma;superannuate
superb;superb
superconductivity a ɛboro so;superconductivity
superego a ɛboro so;superego
supergiant a ɛyɛ kɛse;supergiant
superglue a wɔde hyɛ mu;superglue
superman a ɔsen biara;superman
supermodel a ɔyɛ ɔyɛkyerɛ;supermodel
supernova a ɛyɛ nwonwa;supernova
superoxide a ɛyɛ kɛse;superoxide
superset a wɔde ahyɛ mu;superset
superstring a ɛwɔ soro;superstring
superstructure a ɛwɔ soro;superstructure
supersymmetry a ɛyɛ nea ɛboro so;supersymmetry
supine a wɔde gyina hɔ;supine
supplant a wɔde si ananmu;supplant
supply kyerɛkyerɛfo;supply teacher
suppository a wɔde hyɛ nipadua mu;suppository
supraglacial a ɛwɔ soro;supraglacial
supɔ;island
supɔw ketewaa bi;islet
supɔw so;peninsula
supɔw so man;island state
supɔw soni;islander
sura;sura
surefooted;surefooted
surety a wɔde di dwuma;surety
surf a wɔde tu mmirika;surf
surfboard a wɔde tu mmirika;surfboard
surfer a ɔde ne ho hyɛ mu;surfer
surfing a wɔde tu mmirika;surfing
suriname na ɛwɔ hɔ;Suriname
surinamefo kasa;Surinamese
surjection a wɔde yɛ ade;surjection
surjective a wɔde yɛ nhwehwɛmu;surjective
surly;surly
suro;afraid
suro;scared
suro-fɛreɛ;nervous
surplice a wɔde yɛ adwuma;surplice
surrealism a ɛyɛ nokware;surrealism
surrey na ɛwɔ hɔ;Surrey
susan na ɔkyerɛwee;Susan
susanna na ɔkyerɛwee;Susanna
sushi a ɛyɛ sushi;sushi
suspender a wɔde hyɛ mu;suspender
suspense a ɛyɛ hu;suspense
sussex apuei fam;East Sussex
susu;recommend
susu;suggest
susu sɛ;suspect
susu sɛ ɛbɛyɛ ɛno;suspicious
susudua;measurement
susudua;scale
susudua;standard
susudua asɛmfua;measure word
susudua kuruwa;measuring cup
susurrus a ɛyɛ hu;susurrus
susutwerɛ;composition
susutwerɛ;essay
susuw ho;appraise
susuw ho;contemplate
susuw ho;measure up
susuw ho;take into account
susuw ho;think about
susuw ho;think of
susuw ho denden;think aloud
susuw ho yiye;think over
susuw ho yiye;think through
susuw ho yiye;think up
susuw nneɛma ho;considerate
susuw nneɛma ho;devise
susuw nneɛma ho;weigh up
sutadeɛ;lake
sutoofu;stove
suture a wɔde hyɛ nipadua mu;suture
suva na ɔkyerɛwee;Suva
