a bit much;kakra pii
anapest;anapest a wɔde di dwuma
anapestic;anapestic a wɔde di dwuma
anaphase;anaphase a wɔde di dwuma
anaphora;anaphora a wɔde di dwuma
anaphoresis;anaphoresis a wɔde di dwuma
anaphoric;anaphoric a wɔde di dwuma
anaphylactic shock;anaphylactic ahodwiriw a ɛma obi ho dwiriw no
anaphylaxis;anaphylaxis a ɛma obi ho yɛ hyew
anarchic;anarchic a ɛyɛ hu
anarchism;anarchism a wɔde di dwuma
anarchist;anarchist a ɔyɛ ɔkannifo
anarcho-capitalism;anarcho-kapitalism a wɔde di dwuma
anarcho-syndicalism;anarcho-syndicalism a wɔde di dwuma wɔ ɔkwan a ɛyɛ hu so
anarchy;basabasayɛ a ɛkɔ so
Anasazi;Anasazi na ɔkyerɛwee
Anastasia;Anastasia na ɔkyerɛwee
anastrophe;anastrophe a ɛyɛ hu
anastylosis;anastylosis a wɔde yɛ nipadua no
anathema;anathema a wɔde ma
Anatolia;Anatolia na ɛwɔ hɔ
Anatolian;Anatoliafo
Anatolius;Anatolius na ɔkyerɛwee
anatomical;anatomical ho adesua
anatomically;wɔ nipadua mu
anatomy;nipadua akwaa ho adesua
anatta;anatta
Anaximander;Anaximander na ɔkyerɛwee
Anaximenes;Anaximenes a wɔde yɛ nneɛma
ancestor;nana
ancestral;nananom de
ancestry;nananom abusua
anchor;boafoɔ
anchorage;anchorage a wɔde hyɛ mu
anchorite;anchorite a wɔde di dwuma
anchorman;anchorman a ɔde ne ho hyɛ mu
anchovy;anchovy a wɔfrɛ no anchovy
Ancient Greece;Tete Helafo
Ancient Greek;Tete Hela kasa
ancient history;tete abakɔsɛm
Ancient Rome;Tete Roma
ancient;tete
ancients;tetefo
ancillary;ancillary a ɛyɛ adwuma
and how;ne sɛnea wɔyɛ no
and so forth;ne nea ɛkeka ho
and-or;ne-anaasɛ
and;ne
Andalusia;Andalusia na ɛwɔ hɔ
Andalusian Arabic;Andalusian Arabic kasa
Andalusian;Andalusianfoɔ
andalusite;andalusite a wɔde yɛ nneɛma
Andean cat;Andesfo ɔkraman
Andean flamingo;Andes flamingo a wɔfrɛ no flamingo a wɔfrɛ no flamingo
Andean;Andesfoɔ dea
Andes;Andes
andesine;andesine a wɔde yɛ adwuma
Andhra Pradesh;Andhra Pradesh na ɛwɔ hɔ
andiron;andiron na ɛyɛ
Andorra la Vella;Andorra a ɛwɔ Vella no mu
Andorra;Andorra na ɛwɔ hɔ
Andorran;Andorrafo na wɔte saa
Andrea;Andrea na ɔkyerɛwee
Andrew;Andrew
andrewsarchus;andrewsarchus na ɔkyerɛwee
androcentric;androcentric a ɛwɔ nipadua no mu
androecium;androecium a ɛma nipadua no yɛ adwuma
androgen;androgen a wɔfrɛ no androgen
androgenic;androgenic a wɔde yɛ adwuma
androgyne;androgyne a wɔde hyɛ nipadua mu
androgynous;androgynous a ɛyɛ ɔbarima ne ɔbea nna
android;android a wɔde di dwuma
andrology;andrology ho adesua
Andromeda;Andromeda na ɔkyerɛwee
androphilia;androphilia a ɛma obi ho yɛ hyew
androphobia;androphobia a ɛyɛ hu
androstenedione;androstenedione a wɔde yɛ aduru
Andy;Andy na ɔkyerɛwee
anecdata;anecdata a wɔde kyerɛw nsɛm
anecdotal evidence;adanse a ɛyɛ anansesɛm
anecdotal;anansesɛm mu nsɛm
anecdote;asɛm a wɔka kyerɛ
anemia;mogya a ɛtɔ kɔ nipadua mu
anemic;mogya a ɛtɔ kɔ nipadua mu
anemometer;anemometer a wɔde kyerɛ sɛnea nipadua no te
anemone;anemone a wɔfrɛ no anemone
anesthesia;aduru a wɔde kum nipadua no
anesthesiologist;oduruyɛfo a ɔma aduru a ɛma obi dwensɔ
anesthetic;aduru a wɔde kum nipadua no
anesthetist;oduruyɛfo a ɔma aduru a ɛma obi dwensɔ
anesthetization;aduru a wɔde kum akisikuru
anesthetize;aduru a wɔde kum akisikuru
anestrus;anestrus a ɛyɛ hu
anethole;anethole a wɔde yɛ adwuma
aneurysm;ntini a ɛma mogya tu
aneurysmatic;ntini a ɛma mogya tu
anew;foforo
Angel Falls;Ɔbɔfo Ahwease
angel hair;ɔbɔfo ti nhwi
angel of death;owu bɔfo
angel shark;ɔbɔfo a ɔyɛ ɔkraman
angel;bɔfoɔ
Angela;Angela na ɔkyerɛwee
Angeleno;Angeleno na ɔkyerɛwee
angelic;ɔbɔfo
angelica;angelica na ɔkyerɛwee
Angelo;Angelo na ɔkyerɛwee
angelology;abɔfo ho adesua
anger;abufuo
angina pectoris;angina a ɛma obi ho kyere no
angina;angina
angiogenesis;ntini a ɛma mogya tu
angiogenic;angiogenic a ɛma mogya tu
angiogram;angiogram a wɔde yɛ nhwehwɛmu
angiography;angiography a wɔde yɛ nhwehwɛmu
angiopathy;ntini mu yare a ɛma mogya tu
angioplasty;angioplasty a wɔde yɛ adwuma
angiosperm;angiosperm a ɛwɔ nipadua no mu
angiotensin;angiotensin a wɔde yɛ aduru
angiotensinogen;angiotensinogen a ɛma mogya tu
Angkor Wat;Angkor Wat na ɔkyerɛwee
angle bisector;angle bisector a ɛwɔ afã abien
angle bracket;angle bracket a ɛwɔ anim
angle grinder;angle grinder a wɔde twitwiw nneɛma
angle;ɔfa
angler;mpataayifo
anglerfish;mpataayifo
Anglican Communion;Anglikanfo Adidi
Anglican;Anglikan kasa
Anglicanism;Anglikansom
anglicisation;anglicisation a wɔde di dwuma
anglicism;anglicism
angling;angling a wɔde wɔn ho hyɛ mu
Anglo-;Anglo- .
Anglo-American;Anglo-Amerikafoɔ
Anglo-Catholic;Anglo-Katolekfo
Anglo-Norman;Anglo-Normanfo kasa
Anglo-Saxon;Anglo-Saxonfo kasa
Anglophilia;Anglophilia ho asɛm
Anglophone;Anglophone kasa
Anglosphere;Anglosphere a ɛwɔ hɔ
Angola;Angola
Angolan;Angolafo kasa
angrily;abufuw mu
angry;abufuo
angst;angst
angstrom;angstrom a wɔde kyerɛw nsɛm
Anguilla;Anguilla na ɔkyerɛwee
anguish;awerɛhowdi
anguished;awerɛhowdi
angular;angular
anhedonia;anhedonia a ɛma obi ho yɛ hyew
anhydrase;anhydrase a wɔfrɛ no anhydrase
anhydride;anhydride a wɔde yɛ adwuma
anhydrite;anhydrite a wɔde yɛ nneɛma
anhydrobiosis;anhydrobiosis a ɛma nipadua no yɛ adwuma
anhydrous;nsu a enni mu
anicca;anicca
Anicetus;Anicetus na ɔkyerɛwee
anil;anil
anile;anile
aniline;aniline a wɔfrɛ no aniline
anilingus;anilingus a wɔfrɛ no anilingus
animadversion;animadversion a wɔde di dwuma
animadvert;animadvert a wɔde bɔ nneɛma ho dawuru
animal feed;mmoa aduan
animal husbandry;mmoa a wɔyɛn wɔn
animal kingdom;mmoa ahenni
animal magnetism;mmoa magnetism
animal rights;mmoa hokwan ahorow
animal;aboa
animalcule;animalcule a wɔde yɛ nneɛma
animalize;animalize
animally;mmoa kwan so
animate;animtiaabu
animated;animated
animatedly;anigye so
animation;animation a wɔde yɛ mfonini
anime;anime a ɛyɛ fɛ
animose;animose
animosity;nitan a wɔde di dwuma
anion;anion
anise;anise
aniseed;aniseed
anisette;anisette na ɔkyerɛwee
anisocoria;anisocoria a ɛwɔ nipadua no mu
anisole;anisole a wɔde di dwuma
anisotropy;anisotropy a ɛyɛ anisotropy
Ankara;Ankara
ankh;ankh
ankle monitor;ankle monitor a wɔde hwɛ nneɛma so
ankle;nankɔn
anklebone;anklebone
anklet;anklet a ɛyɛ den
Ann;Ann
annals;abakɔsɛm nhoma ahorow
annatto;annatto na ɔkyerɛwee
Anne;Anne
anneal;anneal a wɔde yɛ nneɛma
annealing;annealing a wɔde yɛ nneɛma
annelid;annelid
annex;annex no mu
annexation;a wɔde wɔn ho ahyɛ mu
annihilate;sɛe wɔn ase
annihilation;ɔsɛe a wɔsɛe no
annihilative;ade a ɛsɛe ade
annis Domini;annis Domini na ɔkyerɛwee
anniversary;apontoɔ
anno Domini;anno Domini na ɔkyerɛwee
annotate;nkyerɛkyerɛmu
annotation;nkyerɛkyerɛmu a wɔde kyerɛw nsɛm
announce;de to gua
announcer;ɔdawurubɔfo
annoy;hyɛ abufuo
annoyance;ahometew
annoyed;bo fuiɛ
annoying;abufu
annual;afeafe
annually;afe biara
annuity;afe afe sika a wɔde tua ho ka
annul;annul a wɔde yɛ adwuma
annular;annular a ɛyɛ annular
annulene;annulene a wɔde yɛ nneɛma
annulment;annulment a wɔtwa mu
annulus;annulus a ɛyɛ annulus
anoa;anoa
anode;anode a wɔde yɛ adwuma
anodyne;anodyne a wɔde yɛ adwuma
anoint;sra no
anointed;wɔasra wɔn
anomalous;anomalous a ɛyɛ nwonwa
anomaly;anomaly a ɛyɛ nea ɛnteɛ
anomer;anomer
anomeric;anomeric a wɔde di dwuma
anonymise;ammɔ din
anonymity;a wɔmmɔ din
anonymize;anonymize
anonymous;ohintaduakyire
anonymously;a wɔmmɔ wɔn din
anorak;anorak
anorectal;anorectal a ɛyɛ mmerɛw
anorexia nervosa;anorexia nervosa a ɛma obi nya aduan
anorexia;anorexia a ɛma obi nya aduan
anorexic;anorexic a ɛma obi nya aduan
anorexically;anorexically a wɔde di dwuma
anorthite;anorthite a wɔde di dwuma
anorthoclase;anorthoclase a wɔde hyɛ nipadua mu
anosognosia;anosognosia a ɛma nipadua no yɛ adwuma
another;foforɔ
anoxia;anoxia a ɛma obi nya anoxia
anoxic;anoxic a wɔmfa nni dwuma
anoxybiosis;anoxybiosis a ɛma obi nya ɔyare mmoawa
Anselm;Anselm na ɔkyerɛwee
ansible;ansible
answer to;mmuaeɛ ma
answer;anoyie
answerable;a wobu akontaa
answering machine;afiri a wɔde bua nsɛm
ant;ant
antacid;antacid a ɛko tia asidi
antagonism;ɔtan a wɔsɔre tia
antagonist;antagonist a ɛko tia
antagonistic;antagonistic a wɔde di dwuma
antagonize;antagonize
Antananarivo;Antananarivo na ɔkyerɛwee
Antarctic Peninsula;Antarctic Po no so
Antarctic;Antarctic na ɛwɔ hɔ
Antarctica;Antarctica na ɛwɔ hɔ
Antares;Antares na ɔkyerɛwee
antbird;nwansena a wɔfrɛ wɔn antbird
ante;ante
anteater;anteater a wɔde di dwuma
antebellum;antebellum a ɛwɔ hɔ
antecedent;asɛm a edi kan
antechamber;antechamber a ɛwɔ ɔdan no anim
antediluvian;ansa na nsuyiri reba
antelope;antelope a wɔfrɛ no antelope
antenna;antena a wɔde yɛ adwuma
antepenultimate;antepenultimate a edi kan
anterior chamber;anim dan a ɛwɔ anim
anterior deltoid;anim deltoid a ɛwɔ anim
anterior;anim
anteriority;anteriority a ɛwɔ anim
anterograde amnesia;anterograde amnesia a ɛma obi kae ade
anteroposterior;anim akyi akyi
anthelmintic;aduru a wɔde kum anthelmintic
anthem;nnwom a wɔbɔ
anther;anther
antheridium;aduru a wɔfrɛ no antheridium
anthill;ntɛtea a wɔfrɛ no anthill
anthocyanin;anthocyanin a wɔde yɛ aduru
anthological;nhoma a wɔaboaboa ano
anthology;nhoma a wɔaboaboa ano
Anthony;Anthony na ɔkyerɛwee
anthracene;anthracene a wɔde yɛ aduru
anthracite;anthracite a wɔde hyɛ nipadua mu
anthraquinone;anthraquinone a wɔde di dwuma
anthrax;anthrax a ɛyɛ hu
anthropic;nnipa ho asɛm
anthropization;nnipa a wɔde wɔn ho hyɛ mu
anthropo-;nnipa- .
Anthropocene;Anthropocene a ɛyɛ nnipa de
anthropocentrism;nnipa ho adwene
anthropogenic;nnipa na wɔyɛ
anthropogeography;nnipa asase ho adesua
anthropography;nnipa ho adesua
anthropoid;anthropoid a wɔde yɛ nnipa
anthropological;nnipa ho adesua
anthropologist;nnipa ho ɔbenfo
anthropology;nnipa ho adesua
anthropometry;nnipa ho adesua
anthropomorphic;nnipa a wɔyɛ wɔn ho sɛ nnipa
anthropomorphism;nnipa a wɔyɛ wɔn ho sɛ nnipa
anthroposophy;nnipa ho adesua
anti-;anti- .
anti-aging;a ɛko tia onyin
anti-aircraft;a wɔde ko tia wimhyɛn
anti-American;a ɔsɔre tia Amerikafo
anti-Americanism;a wɔsɔre tia Amerikafo
anti-Catalanism;a wɔsɔre tia Catalansom
anti-imperialism;a wɔsɔre tia ahemman nniso
anti-imperialist;a wɔsɔre tia ahemman nniso
anti-inflationary;a ɛko tia nneɛma bo a ɛkɔ soro
anti-Müllerian;a ɔsɔre tia Müllerian
anti-Semite;a wɔsɔre tia Yudafo
anti-Semitic;wɔn a wɔsɔre tia Yudafo
anti-Semitism;a wɔsɔre tia Yudafo
anti-Zionist;a wɔsɔre tia Sionfo
antiabortion;anti nyinsɛn a woyi gu
antiacademic;antiacademic
antibacterial;aduru a ekum ɔyare mmoawa
antibiotic;aduru a ekum ɔyare mmoawa
antibody;antibody a ɛko tia nyarewa
antibullfighting;anantwinini a wɔko tia ntɔkwaw
antibully;antibully
antic;antic
anticaking agent;aduru a ɛko tia aduru
anticaking;anticaking a wɔde di dwuma
anticatabolic;aduru a ɛko tia akisikuru
antichain;antichain
antichresis;antichresis a wɔde di dwuma
antichretic;antichretic a wɔde di dwuma
antichrist;antikristo
anticipate;bɔ mpɛmpɛn
anticipation;akwanhwɛ a wɔhwɛ kwan
anticipatory;a wɔhwɛ kwan
anticlerical;asɔretiafo a wɔko tia asɔfo
anticlimactic;anticlimactic
anticlimax;anticlimax
anticline;anticline a ɛko tia nyarewa
anticlockwise;a ɛne dɔn no bɔ abira
anticoagulant;aduru a ekum mogya a ɛtwetwe mogya
anticodon;anticodon a ɛko tia nyarewa
anticolonial;a ɛko tia atubrafo
anticommunism;komunism a wɔsɔre tia
anticommunist;wɔn a wɔsɔre tia komunis
anticonstitutionally;nea ɛne ɔman mmara nhyia
anticorruption;ɔporɔw a wɔko tia
anticrisis;antikrisis a ɛko tia nyarewa
anticultural;nea ɛne amammerɛ nhyia
anticyclone;anticyclone a ɛko tia ahum
antidemocratic;nea ɛne demokrase nhyia
antidepressant;aduru a ekum adwenemhaw
antiderivative;antiderivative a wɔde yɛ aduru
antidiuretic;aduru a ekum nsu mu nsu
antidopaminergic;aduru a ekum dopaminergic
antidote;aduru a wɔde kum ɔyare mmoawa
antidrug;nnuru a ekum nnubɔne
antidysenteric;nnuru a ekum akisikuru
antiemetic;aduru a ekum akisikuru
antifascism;antifascism a wɔde di dwuma
antifascist;antifasistfo a wɔsɔre tia
antifeminism;antifeminism a wɔde di dwuma
antifeminist;antifeminist
antifreedom;ahofadi a wɔko tia
antifreeze;aduru a ekum nwini
antifungal;antifungal
antigen;antigen a ɛma nipadua no yɛ adwuma
Antigua and Barbuda;Antigua ne Barbuda na ɛwɔ hɔ
Antigua;Antigua na ɛwɔ hɔ
Antiguan;Antiguanfoɔ
antigypsyism;antigypsyism a wɔde di dwuma
antihemorrhagic;nnuru a ekum mogyatɔw
antihero;antihero
antiheroine;antiheroine a wɔde di dwuma
antihistamine;nnuru a ekum histamine
antihistaminic;aduru a ekum histamini
antihomophobia;ɔtan a ɛko tia mmarima a wɔne wɔn ho da
antihydrogen;antihydrogen a ɛko tia hydrogen
antiindependence;antiindependence a wɔko tia
antikidnapping;antia wɔkyere nkurɔfo sie
antilaundering;a ɛko tia ahohoro
antiliberalism;antiliberalism a wɔde di dwuma
Antillean;Antillean na ɔkyerɛwee
Antilles;Antilles na ɛwɔ hɔ
antimatter;antimatter a ɛko tia nyarewa
antimissile;a wɔde ko tia aprɛm
antimodern;nea ɛne nnɛyi nneɛma nhyia
antimony;antimony a wɔde yɛ nneɛma
antinatalism;antinatalism a wɔde di dwuma
antinatalist;aduru a ɛko tia awo
antineutron;antineutron a ɛko tia nyarewa
anting;anting
antinomy;antinomy a wɔde di dwuma
Antioch;Antiokia
Antiochene;Antiokenea na ɛwɔ hɔ
Antiochus;Antiochus na ɔkyerɛwee
antioxidant;aduru a ɛko tia ɔyare mmoawa
antiparallel;nea ɛne ne ho di nsɛ
antiparasitic;aduru a ɛko tia mmoawa a wɔsɛe nnɔbae
antiparticle;antiparticle
antipathy;antipathy
antiperspirant;aduru a ekum fifiri
antiphrasis;antiphrasis a wɔde di dwuma
antipode;antipode a wɔde di dwuma
antipollution;efĩ a wɔko tia
antipope;antipope
antipopular;antipopular
antiprism;antiprism a wɔde di dwuma
antiproliferative;aduru a ekum ɔyare mmoawa
antiproton;antiproton a ɛko tia nyarewa
antipyretic;aduru a ekum ɔhyew
antiquarian;tete nneɛma ho nimdefo
antiquary;tete nneɛma ho nimdefo
antiquated;a ayɛ dedaw
antique white;tete fitaa
antique;tete nneɛma
antiquity;tete nneɛma
antiracist;antiracist
antiradar;antiradar a wɔde di dwuma
antiretroviral;nnuru a ekum ɔyare mmoawa
antirevolutionary;nea ɛko tia ɔman anidan
antisense;antisense a wɔde di dwuma
antiseptic;aduru a ekum ɔyare mmoawa
antiseptically;nnuru a ekum ɔyare mmoawa
antiskid;antiskid
antislip;antislip a wɔde hyɛ mu
antismoking;sigaretnom a wɔko tia
antisocial;nea ɛne asetra nhyia
antispace;antispace a ɛko tia ahunmu
antispast;antispast a ɛko tia nyarewa
antispoofing;antispoofing a wɔde di dwuma
antistatic;antistatic a ɛko tia
antitaurine;aduru a ɛko tia taurine
antiterrorism;atirimɔdensɛm a wɔko tia
antiterrorist;antiterrorist
antitetanic;nnuru a ekum tetanic
antitheft;anti korɔnbɔ
antitheism;Onyankopɔn a wɔsɔre tia
antithesis;asɛm a ɛne ne ho bɔ abira
antithetical;nea ɛne ne ho bɔ abira
antithrombin;antithrombin a ɛko tia nyarewa
antithyroid;antithyroid a ɛko tia thyroid
antitoxic;aduru a ekum awuduru
antitoxin;aduru a ekum awuduru
antitrust;antitrust
antitrypsin;antitrypsin a ɛko tia nyarewa
antiutopian;aduru a ɛko tia utopia
antiviral;nnuru a ekum ɔyare mmoawa
antivirus;antivirus a ɛko tia nyarewa
antler;antler a ɛyɛ den
Antlia;Antlia na ɔkyerɛwee
antlion;antlion a wɔfrɛ no antlion
antly;antly
Antoinette;Antoinette na ɔkyerɛwee
Antonia;Antonia na ɔkyerɛwee
antonomasia;antonomasia a ɛma obi nya ɔyare mmoawa
antonym;antonym a ɛne ne ho di nsɛ
antrectomy;antrectomy a wɔde twa nipadua no
antrorse;antrorse a ɛyɛ hu
antrum;antrum a ɛyɛ den
ants in one's pants;nwansena a ɛwɔ obi pants mu
antshrike;anthrike a wɔde wɔn ho hyɛ mu
Antwerp;Antwerp na ɛwɔ hɔ
Antwerpian;Antwerpianfo a wɔyɛ adwuma wɔ hɔ
Anubis;Anubis na ɛwɔ hɔ
anuran;anuran
anus;akyi berɛmo
anvil;anvil
anxiety disorder;dadwen yare a ɛma obi nya dadwen
anxiety;brɛ
anxiogenic;a ɛma obi dadwen
anxiolytic;aduru a ɛma dadwen brɛ ase
anxious;ahopere
anxiously;de adwennwene
any more;bio
any;biara
anybody's;obiara deɛ
anybody;obiara
anyhow;ɔkwan biara so
anyone;obiara
anything but;biribiara gye sɛ
anything else;biribi foforo biara
anything;biribiara
anytime;bere biara
anyway;ɛnyɛ hwee
anywhere;baabiara
aorist aspect;aorist afã
aorta;aorta a ɛwɔ nipadua no mu
aortic;aortic a ɛwɔ nipadua no mu
apart from;sɛ yɛde to nkyɛn a
apart;ntɛm te
apartheid;nnipa mu nyiyim
apartment building;ɔdan a wɔda mu
apartment;daberɛ
apatheism;anibiannaso a wonni
apathetic;anibiannaso
apathetically;wɔ anibiannaso mu
apathy;anibiannaso
apatite;apatite a wɔde di dwuma
ape;ape
APEC;APEC na ɛwɔ hɔ
Apennines;Apennines a ɛwɔ hɔ
aperture;aperture a wɔde hyɛ mu
apex predator;apex predator a ɔkyere mmoa we
apex;apex a ɛwɔ soro
aphasia;aphasia a ɛma obi yɛ ade tra so
aphelion;aphelion (aphelion) a wɔfrɛ no aphelion
apheresis;apheresis a ɛma obi ho yɛ hyew
aphid;aphid a wɔfrɛ no aphid
aphorism;aphorism a wɔde di dwuma
aphoristic;aphoristic a wɔde di dwuma
aphrodisiac;aduru a ɛma obi nya nna ho akɔnnɔ
Aphrodite;Aphrodite a ɔyɛ ɔbarima
aphthous ulcer;aphthous a ɛyɛ kurukuruwa
aphthous;aphthous a wɔde di dwuma
Apia;Apia
apian;apian
apiary;apiary a wɔkora so
apicectomy;apicectomy a wɔde twa nipadua no mu
apicoplast;apicoplast a wɔde yɛ aduru
apiculus;apiculus a ɛyɛ hu
apiece;emu biara
aplenty;pii
aplomb;aplomb a ɛyɛ den
apnea;apnea a ɛma obi ho kyere no
apocalypse;adiyisɛm ho asɛm
apocalyptic;adiyisɛm mu nsɛm
apocarotenal;apocarotenal a ɛma nipadua no yɛ adwuma
apocarpous;apocarpous a ɛwɔ hɔ
apocopate;apocopate a wɔde di dwuma
apocope;apocope ho asɛm
apocrypha;apokrifa a wɔde di dwuma
apocryphal;apokrifa a wɔde di dwuma
apogee;apogee
apograph;apograph a wɔde kyerɛ
apolipoprotein;apolipoprotein a ɛma nipadua no yɛ adwuma
apolitically;wɔ amammuisɛm mu
apollo;apollo
Apollonian circle;Apolloniafo kurukuruwa
apologetic;a wɔpa kyɛw
apologetically;de kyɛwpa
apologetics;kyɛwpa a wɔpa
apologize;pa kyɛw
apology;kyɛwpa
aponeurosis;aponeurosis a ɛma nipadua no yɛ adwuma
apophasis;apophasis a ɛma obi nya apophasis
apophysis;apophysis a ɛma nipadua no yɛ adwuma
apoplectic;apoplectic a ɛma obi wuwu
apoplexy;apoplexy a ɛma obi ho kyere no
apoprotein;apoprotein a ɛma nipadua no yɛ adwuma
apoptosis;apoptosis a ɛma obi wuwu
aporophobia;aporophobia a ɛyɛ hu
aposematism;aposematism a wɔde di dwuma
aposiopesis;aposiopesis a ɛma obi nya ɔyare
apostasy;ɔwae
apostate;ɔwaefo
apostille;apostille, a ɛyɛ apostille
apostle;ɔsomafo
apostleship;asomafo adwuma
apostolic succession;asomafo nnidiso nnidiso
apostolic;asomafo
apostrophe;apostrophe a ɛyɛ apostrophe
apothecium;apothecium a wɔde yɛ aduru
apothegm;apothegm a wɔde di dwuma
apothem;apothem
apotheosis;apotheosis a wɔde di dwuma
apotropaism;apotropaism a ɛma obi ho yɛ hyew
app;app
Appalachians;Appalachiansfo a wɔyɛ adwuma wɔ hɔ
appall;ɛyɛ hu
appalling;ɛyɛ hu
apparatchik;apparatchik
apparatus;mfiri a wɔde yɛ adwuma
apparel;ntadehyɛ
apparent;pefee
apparently;saa na
apparition;adiyisɛm
appeal;apiili
appear;pue
appearance;mmaeɛ
appease;asomdwoe
appeasement;appeasement a ɛma obi dwo
appellant;ɔde asɛm no kɔdan asɛnnibea
appellate court;asɛnnibea a wɔde asɛm kɔdan asɛnnibea
append;fa ka ho
appendage;appendage a wɔde ka ho
appendectomy;appendectomy a wɔde twa nipadua no mu
appendicitis;appendicitis a ɛma obi ho kyere no
appendix;nkaebɔ no mu
appetite;akɔnnɔ
appetizer;appetizer a wɔde yɛ aduan
appetizing;a ɛyɛ akɔnnɔ
applaud;bɔ wɔn nsam
applause;nsam a wɔbɔ
apple blossom;apɔw-mu-teɛteɛ nhwiren
apple juice;apɔw-mu-teɛteɛ nsu
apple of discord;apɔw-mu-teɛteɛ a ɛne akasakasa
apple pie;apɔw-mu-teɛteɛ
apple sauce;apɔw-mu-teɛteɛ
apple tree;apɔw-mu-teɛteɛ dua
apple-green;apɔw-mu-teɛteɛ a ɛyɛ ahabammono
apple;aprɛ
apples and oranges;apɔw-mu-teɛteɛ ne akutu
appliance;afiri a wɔde yɛ adwuma
applicability;sɛnea wɔde di dwuma
applicable;a ɛfa ho
applicant;ɔdebisafoɔ
application;abisadeɛ
applicator;a wɔde di dwuma
applied science;nyansahu a wɔde di dwuma
applique;applique a wɔde di dwuma
apply oneself;fa obi di dwuma
apply;pere
appoint;paw
appointee;nea wɔapaw no
appointment;yi obi
apportion;kyɛfa a wɔkyekyɛ
apportionment;kyɛfa a wɔkyekyɛ
apposite;a ɛfata
appraisal;nhwehwɛmu a wɔyɛ
appraise;susuw ho
appraiser;ɔhwɛfo a ɔhwɛ nneɛma so
appreciable;a wɔkyerɛ ho anisɔ
appreciate;ani sɔ
appreciation;anisɔ
appreciative;anisɔ a wɔde ma
apprehend;kyere
apprehension;ehu a ɛma obi suro
apprehensive;ehu a ɛyɛ hu
apprentice;obi a ɔresua adwuma
apprenticeship;adesua a wɔde sua adwuma
apprise;bɔ amanneɛ
approach;kwan
approachable;obi a wotumi bɛn no
approbation;pene a wɔpene so
appropriate;deɛ ɛdi mu
appropriateness;sɛnea ɛfata
appropriation;sika a wɔde di dwuma
approval;ɔpeneeɛ
approve;ma kwan
approved;agye atom
approvingly;a wɔpene so
approximate;bɛyɛ sɛ
approximately;bɛyɛ
approximation;bɛyɛ a wɔde bɛyɛ adwuma
apraxia;apraxia a ɛma obi nya apraxia
apricot;aprɛko a wɔde yɛ nneɛma
April fool;April ɔkwasea
April Fools' Day;April Nkwasea Da
April;Oforisuo
apron;apron a wɔde di dwuma
apropos;apropos a ɛfata
apse;apse
apt;apt
Aptian;Aptian na ɔkyerɛwee
aptitude;aptitude (aptitude) a wɔde yɛ adwuma
aptly;sɛnea ɛfata
Apuleius;Apuleius na ɔkyerɛwee
Apulia;Apulia na ɔkyerɛwee
Apulian;Apuliafo na ɔkyerɛwee
Apus;Apus
apéritif;apéritif a wɔde di dwuma
aqua regia;aqua regia a wɔde di dwuma
aquaculture;nsu mu mmoa a wɔyɛn wɔn
aquaculturist;nsu mu mmoa ho ɔbenfo
aquamarine;aquamarine a wɔde yɛ nsu mu
aquaponics;aquaponics a wɔde yɛ nneɛma
aquaporin;aquaporin a wɔde yɛ aduru
aquarelle;aquarelle a ɛwɔ nsu mu
aquariology;nsu mu nsu ho adesua
aquarium;aquarium a wɔde nsu gu mu
Aquarius;Aquarius a ɛwɔ hɔ
aquatic warbler;nsu mu akraman a wɔfrɛ wɔn warbler
aquatic;nsu mu nneɛma
aqueduct;nsu a wɔde fa nsu mu
aqueous;nsuo a ɛwɔ mu
aquifer;aquifer a ɛwɔ nsuo mu
aquiferous;aquiferous a ɛwɔ nsuo mu
Aquila;Akwila
aquiline nose;aquiline hwene mu
aquiline;aquiline a wɔfrɛ no aquiline
Aquitaine;Aquitaine na ɛwɔ hɔ
ar;ar
Ara;Ara
Arab Spring;Arabfo Ahohuru Bere
Arab World;Arab Wiase
Arab;Arabfoɔ
araba;araba
arabesque;arabesque kasa
Arabia;Arabia
Arabian Sea;Arabia Po no
Arabian;Arabia kasa
Arabic numeral;Arabic kasa mu akontaahyɛde
Arabic script;Arabic kasa mu nkyerɛwee
Arabic;Arabic kasa
arabinose;arabinose a wɔde di dwuma
Arabisation;Arabfo a wɔde wɔn ho hyɛ mu
Arabism;Arabfo kasa
arable;a wotumi dua so dua
Arabo-;Arabo- .
Arabophobia;Arabo ho tan a ɛyɛ hu
arachidonate;arachidonate a wɔde yɛ aduru
arachidonic acid;arachidonic acid a wɔde yɛ aduru
arachnid;arachnid a wɔfrɛ no arachnid
arachnoid mater;arachnoid mater a ɛwɔ nipadua no mu
Aragon Strip;Aragon Strip na ɛwɔ hɔ
Aragon;Aragon na ɔkyerɛwee
Aragonese;Aragonfo kasa
aragonite;aragonite a wɔde di dwuma
Aral Sea;Aral Po no
Aramaean;Aramfo kasa
Aramaic;Aram kasa
Aranese;Aranefo kasa
Araucanian;Araucanian kasa mu
Araucanization;Araucanization a wɔde yɛ adwuma
Arawak;Arawak na ɛwɔ hɔ
arbiter;ɔtemmufo
arbitrager;arbitrager
arbitral;arbitral
arbitrarily;wɔ ɔkwan a wɔpɛ so
arbitrary;kɛkɛ
arbitrate;arbitrate
arbitration;asɛnnibea ntamgyinafo
arbitrator;ɔtemmufo
Arbor Day;Arbor Da no
arbor;arbor
