p.;kr.
Plato;Plato a ɔyɛ ɔkyerɛwfo
platonic love;ɔdɔ a ɛyɛ plato
Platonic;Plato de no
platoon;platoon a wɔde wɔn ho hyɛ mu
platter;prɛte so
platypus;platypus a wɔfrɛ no platypus
plausibility;ntease a ɛwɔ mu
plausible;nea ntease wom
play by ear;di agoru denam aso so
play dead;di agoru awufo
play hookey;di agoru hookey
play hooky;di agoru a ɛyɛ hooky
play on words;di agoru wɔ nsɛmfua so
play possum;di agoru a wɔfrɛ no possum
play the field;di agoru wɔ abɔnten so
play the fool;di ɔkwasea no ho agoru
play truant;di agoru a wonkɔ sukuu
play with fire;wɔde ogya di agoru
play;bɔ
playboy;playboy a ɔyɛ ɔbarima
playdough;playdough a wɔde di agoru
player piano;obi a ɔbɔ piano
player;agofomma
playful;agodie a wɔde di agoru
playground;agoprama a wɔde di agoru
playgroup;agodie kuw
playing card;kaad a wɔde di agoru
playing field;agoprama so
playlist;nnwom a wɔbɔ
playpen;agoprama a wɔde di agoru
playwright;agorukyerɛwfo
plaza;plaza a ɛwɔ abɔnten so
PLC;PLC
plea bargaining;plea bargaining a wɔde di dwuma
plea;adesrɛ
pleaching;a wɔsrɛsrɛ ade
plead;srɛsrɛ
pleasant;kama
please help me;mesrɛ wo boa me
please pass the salt;mesrɛ wo, fa nkyene no ntwam
please sit down;mesrɛ wo tena ase
please turn left;yɛsrɛ wo dan kɔ benkum
please turn right;yɛsrɛ wo dan kɔ nifa
please;mesrɛ wo
pleased to meet you;anigye sɛ mehyia wo
pleasing;a ɛyɛ anigye
pleasurable;anigyede
pleasurably;anigye so
pleasure principle;anigye nnyinasosɛm
pleasure;ahosɛpɛ
pleat;pleat a wɔde hyɛ mu
plebeian;plebeianfoɔ
plebs;plebs
plectrum;plectrum (plectrum) a ɛwɔ nipadua no mu
pledge;di nse
Pleiades;Pleiades na ɔkyerɛwee
plenary session;plenary nhyiam
plenary;plenary nhyiam
plenitude;plenitude a ɛyɛ pɛ
plentiful;pii
plenty;pii
plenum;plenum
pleonasm;pleonasm a ɛyɛ mmerɛw
pleonastic;pleonastic a ɛyɛ mmerɛw
pleroma;pleroma a ɛyɛ mmerɛw
plethora;plethora a ɛdɔɔso
pleura;pleura a ɛyɛ mmerɛw
pleural cavity;pleural cavity a ɛwɔ ahurututu mu
pleural;pleural a ɛwɔ ahurututu mu
plexiglass;plexiglass a wɔde yɛ ade
pleximeter;pleximeter a wɔde kyerɛ ade
plexus;plexus a ɛwɔ nipadua no mu
pliable;a ɛyɛ mmerɛw
Pliensbachian;Pliensbachian na ɔkyerɛwee
pliers;pliers a wɔde hyɛ nneɛma mu
plight;tebea a emu yɛ den
plinth;plinth a wɔde yɛ adwuma
Pliny;Pliny na ɔkyerɛwee
plod;plod
plosive;plosive a ɛyɛ plosive
plot hole;plot tokuru
plot twist;plot twist
plot;asase
plotter;plotter
plough;plow a wɔde yɛ afuw
plover;plover a wɔfrɛ no plover
plowman;ɔfuntumfoɔ
plowshare;afuw a wɔde yɛ afuw
ploy;afiri a wɔde yɛ adwuma
pluck;pluck
plucky;plucky a ɛyɛ plucky
plug in;plug in no hyɛ mu
plug;fa hyɛ
plum blossom;plum nhwiren a wɔfrɛ no plum
plum pudding;plum pudding a wɔde yɛ aduan
plum;aduaba
plumage;ntakra a wɔde yɛ ntakra
plumb bob;plumb bob a ɛyɛ adwuma
plumb line;plumb line a wɔde yɛ adwuma
plumber;plɔma
plumbing;nsu ho nhama a wɔde yɛ adwuma
plumbism;plumbim a wɔde di dwuma
plunder;adefo a wɔfow nneɛma
plundering;afow a wɔfow nneɛma
plunge;plunge a wɔde hyɛ mu
plunger;plunger a wɔde hyɛ mu
pluot;ploot a ɛyɛ hu
pluperfect tense;pluperfect bere a wɔde di dwuma
plural;dodoɔ
plurale tantum;dodow kabea tantum
pluralism;dodow kabea a wɔde di dwuma
plus sign;plus sɛnkyerɛnne
plus;nea ɛka ho ne
plush toy;agode a ɛyɛ fɛ
plush;plush a ɛyɛ fɛ
Plutarch;Plutarch a ɔyɛ ɔkyerɛkyerɛfo
Pluto;Pluto na ɔkyerɛwee
plutocracy;plutocracy a wɔde di dwuma
plutodemocracy;plutodemokrase a wɔde di dwuma
pluton;pluton (pluton) a wɔfrɛ no pluton
plutonic;plutonic a ɛyɛ adwuma
plutonium;plutonium a wɔde yɛ nneɛma
pluviometer;pluviometer a wɔde kyerɛ sɛnea nsu no te
pluvious;pluvious a ɛwɔ nsuo mu
Pluviôse;Pluviôse a wɔfrɛ no Pluviôse
plywood;plywood a wɔde yɛ adwuma
PM;PM na ɛyɛ
pneumatic;mframa a wɔde yɛ adwuma
pneumoconiosis;ahurututu mu yare
pneumology;ahurututu mu aduruyɛ
pneumonia;ahurututu mu yare
pneumothorax;ahurututu mu ahurututu mu yare
Po valley;Po bon mu
poach;poach a wɔkyere nkurɔfo
poached egg;egg a wɔayam no yiye
poacher;ɔbɔmmɔfo
poaching;abɔmmɔ a wɔbɔ
pochard;pochard na ɛwɔ hɔ
pocket money;kotoku mu sika
pocket pistol;kotoku mu tuo
pocket pool;kotoku mu ɔtare
pocket protector;kotoku mu ahobammɔ
pocket watch;kotoku mu dɔn
pocket;kotoku mu
pocketknife;kotoku mu sekan
pod;pod
podcast;podcast
Podgorica;Podgorica na ɔkyerɛwee
podiatrist;nan ho oduruyɛfo
podium;asɛnka agua so
Podolia;Podolia a wɔfrɛ no Podolia
Podolsk;Podolsk na ɔkyerɛwee
poem;anwensɛm
poet;anwensɛm kyerɛwfo
poetaster;anwensɛm kyerɛwfo
poetess;anwensɛm kyerɛwfo
poetic licence;anwensɛm tumi krataa
poetic;anwensɛm mu nsɛm
poetically;wɔ anwensɛm kwan so
poetry;anwensɛm
pogo stick;pogo dua
pogrom;pogrom a wɔde di dwuma
poignancy;a ɛka koma
poignant;a ɛka koma
Poincaré disk;Poincaré disk a wɔde di dwuma
poinsettia;poinsettia a wɔfrɛ no poinsettia
point guard;point guard a ɔhwɛ ade so
point of no return;point of no sanba bio
point of view;adwene a ɛwɔ hɔ
point-blank;point-blank a ɛyɛ asɛm
point;kyerɛ so
pointer;pointer a ɛkyerɛ biribi
pointillism;pointillism a wɔde kyerɛ ade
pointless;mfaso nni so
pointlessly;mfaso biara nni so
poise;poise
poised;asiesie ne ho
poison ivy;awuduru a wɔfrɛ no ivy
poison;awuduro
poisoning;awuduru a wɔde ma
poisonous;awuduru a ɛwɔ mu
poke around;poke twa ho hyia
poke fun;poke fɛwdi
poke;poke
poker face;poker anim
poker;poker a wɔde di dwuma
Poland;Poland
polar bear;polar bear a ɔyɛ ɔsebɔ
polar cap;polar cap a ɛwɔ soro
polar ice;nsukyenee a ɛwɔ po so
polar;polar a ɛyɛ polar
Polaris;Polaris na ɔkyerɛwee
polarization;polarization a ɛyɛ polarization
polarize;polarize a ɛyɛ polarize
polder;polder a wɔde yɛ adwuma
pole dance;dua asaw a wɔsaw
pole position;dua a wɔde gyina hɔ
pole star;pole nsoromma
pole vault;dua a wɔde tow hyɛn mu
pole vaulter;obi a ɔde dua tu mmirika
pole;dua so dua
polearm;polearm a wɔde di dwuma
polecat;polecat a wɔfrɛ no polecat
polemic;akyinnyegye
polenta;polenta a wɔfrɛ no polenta
poles apart;nnua a ɛda ntam
police brutality;polisifo atirimɔdensɛm
police car;polisifo kar
police dog;polisifo kraman
police force;polisifo kuw
police officer;polisini a ɔyɛ polisini
police state;polisifo man
police station;polisifo adwumayɛbea
police;polisi
policeman;polisini a ɔyɛ ɔsraani
policewoman;polisini bea
policing;polisifo adwuma
policy;nhyehyɛeɛ
policymaker;nhyehyɛeyɛfo
poliomyelitis;poliomyelitis a ɛma obi nya ɔyare mmoawa
poliovirus;poliovirus a ɛma obi nya ɔyare mmoawa
polis;polis a wɔde yɛ adwuma
Polish notation;Poland kasa mu nkyerɛwde
Polish;Polish kasa mu
politburo;politburo a ɛwɔ hɔ
polite;obuo
politely;wɔ animtew mu
politeness;animtew a wɔde kyerɛ
political party;amammui kuw
political prisoner;amammuisɛm mu ɔdeduani
political scientist;amammuisɛm ho ɔbenfo
political;amammuisɛm mu
politically correct;amammui mu nea ɛteɛ
politically;wɔ amammuisɛm mu
politician;ɔmanyɛfo
politics;amammuisɛm
polity;amammuisɛm
polka dot;polka a ɛyɛ nsensanee
polka;polka a wɔde yɛ nneɛma
poll tax;tow a wɔbɔ wɔ abatow ho
poll;nhwehwɛmu a wɔyɛe
pollen;pollen a ɛyɛ pollen
pollenize;pollenize a wɔde yɛ nneɛma
pollinate;pollinate a wɔde yɛ pollinate
pollination;pollination a wɔde yɛ nneɛma
pollinator;pollinator a ɛma nsu mu nsu yɛ frɔmfrɔm
polling station;baabi a wɔtow aba
pollock;pollock a wɔde yɛ nneɛma
pollster;obi a ɔyɛ nhwehwɛmu
pollutant;efĩ a ɛde ba
pollution;efiyɛ
Pollyannaish;Pollyannaish na ɔkyerɛwee
polo shirt;polo atade a wɔde hyɛ
polo;polo a wɔbɔ
polonium;polonium a wɔde yɛ aduan
Polonization;Polonization a wɔde yɛ nneɛma
poltergeist;poltergeist a wɔfrɛ no poltergeist
poltroon;poltroon a wɔde di dwuma
poly-;poly- .
polyamide;polyamide a wɔde yɛ nneɛma
polyamory;polyamory, awarefo pii
polyandrous;polyandrous a ɛyɛ den
polyandry;polyandry a wɔde wɔn ho hyɛ mu
polyarchy;polyarchy a wɔde di dwuma
polycarbonate;polycarbonate a wɔde yɛ nneɛma
polychete;polychete a wɔde ayɛ nneɛma
polychromatic;a ɛwɔ kɔla ahorow pii
polyclinic;polyclinic a wɔde kɔ ayaresabea
polycyclic;polycyclic a ɛyɛ adwuma
polyester;polyester a wɔde yɛ nneɛma
polyethism;polyethism a wɔde di dwuma
polyethylene;polyethylene a wɔde yɛ nneɛma
polygamist;ɔyere dodow a ɔware
polygamy;aware dodow aware
polyglot;kasa dodow a wɔka
polygon;polygon a ɛyɛ polygon
polygraph;polygraph a wɔde kyerɛw nsɛm
polygyny;mmea dodow a wɔware
polyhedron;polyhedron a ɛwɔ afã horow
polymath;polymath a wɔde kyerɛw nsɛm pii
polymathic;polymathic a wɔde kyerɛw nsɛm pii
polymer;polymer a wɔde yɛ nneɛma
polymerase;polymerase a wɔfrɛ no polymerase
polymerize;polymerize a wɔde yɛ nneɛma
polymorphism;polymorphism a ɛwɔ nipadua no mu
polymorphous;a ɛwɔ nsɛso ahorow pii
polynomial;polynomial a wɔde di dwuma
polynuclear;polynuclear a ɛwɔ nneɛma pii mu
polynya;polynya
polyp;polyp
polyphenol;polyphenol a wɔde yɛ aduan
polyphonic;nnyigyei ahorow pii
polyphony;polyphony a wɔde di dwuma
polyphosphate;polyphosphate a wɔde yɛ nneɛma
polyploidy;polyploidy a ɛwɔ nipadua no mu
polypore;polypore a ɛwɔ nipadua no mu
polyptoton;polyptoton a ɛwɔ nipadua no mu
polyptych;polyptych a wɔfrɛ no polyptych
polysaccharide;polysaccharide a wɔde yɛ ade
polysemantic;nkyerɛase ahorow pii
polysemic;polysemic a wɔde di dwuma
polyspast;polyspast a wɔde di dwuma
polystyrene;polystyrene a wɔde yɛ nneɛma
polysyllabic;nsɛmfua a wɔde nsɛmfua pii di dwuma
polysyndeton;polysyndeton a ɛyɛ adwumaden
polysynthetic;polysynthetic a wɔde yɛ nneɛma pii
polytechnic;polytechnic a wɔde yɛ adwuma
polytheism;anyame pii som
polytheistic;anyame pii di
polytope;polytope a wɔde yɛ nneɛma
polyurethane;polyurethane a wɔde yɛ nneɛma
pomade;pomade a wɔde yɛ nneɛma
pome;pome
pomegranate;granate akutu
pomelo;pomelo
pommel horse;pommel ɔpɔnkɔ
pommel;pommel a wɔfrɛ no pommel
pomological;pomological a wɔde di dwuma
pomology;pomology ho adesua
pompano;pompano a wɔde di dwuma
Pompeii;Pompeii
Pompey;Pompey na ɔkyerɛwee
pompous;pompous
pompously;ahomaso so
poncho;poncho a wɔde di dwuma
pond;bura
ponder;dwennwen ho
ponderous;ponderous a ɛyɛ den
poniard;poniard a wɔde di dwuma
pons;pons
Pontevedra;Pontevedra na ɔkyerɛwee
pontiff;pontiff a ɔyɛ ɔpanyin
pontificate;pontificate adwuma
pony;pɔnkɔ
ponytail;pɔnkɔ dua
poo;poo
pooch;pooch a wɔfrɛ no pooch
poodle;poodle
Pooh;Pooh
pool noodle;ɔtare mu noodle
pool table;pool pon so
pool;tadeɛ
poolish;poolish
poop deck;poop deck a wɔde hyɛ mu
poop;agyanan
pooper scooper;pooper scooper a wɔde di dwuma
poor thing;ohiani ade
poor;hia
pop group;pop kuw bi
pop music;pop nnwom
pop up;pop up na ɛba
pop;pow
popcorn;popcorn a wɔde yɛ nneɛma
pope;pope
Popemobile;Popemobile a wɔde di dwuma
poplar;poplar a wɔfrɛ no poplar
poplit;poplit a ɛyɛ poplit
popliteal;popliteal a wɔde di dwuma
poppy;poppy a wɔde yɛ nneɛma
poppyseed;poppy aba a wɔfrɛ no poppyseed
popsicle;popsicle a wɔde bɔ nnwom
populace;nnipa dodow
popular assembly;nhyiam a agye din
popular music;nnwom a agye din
popular science;nyansahu a agye din
popular;hyeta
popularise;ma nkurɔfo ani gye ho
popularity;agye din a nkurɔfo ani gye ho
popularization;agye din
populate;nnipa ahyɛ mu ma
population inversion;nnipa dodow a wɔdannan wɔn ho
population;nnipa dodoɔ
populism;nnipa dodow a wɔpɛ wɔn asɛm
populous;nnipa dɔɔso
porbeagle;porbeagle a wɔfrɛ no porbeagle
porcelain;porcelain a wɔde ayɛ
porch;abrannaa so
porciculture;porciculture a wɔde yɛ adwuma
porcine;mprako a wɔfrɛ no porcine
porcupine;porcupine a wɔfrɛ no porcupine
pore;pore a ɛwɔ nipadua no mu
porgy;porgy
pork belly;mprako yafunu
pork rind;mprako nam a wɔayam
pork;prakonam
porn star;nguamansɛm ho nsoromma
porn;nguamansɛm
porno;porno, nguamansɛm
pornocracy;nguamansɛm a wɔde di dwuma
pornographer;nguamansɛm ho mfoninitwafo
pornographic;nguamansɛm ho mfonini
pornography;nguamansɛm ho mfonini
pornophobe;nguamansɛm ho tan
pornophobia;nguamansɛm ho tan
pornophobic;nguamansɛm ho tan
porosity;porosity a ɛwɔ nipadua no mu
porous;porous
porphyrin;porphyrin a wɔfrɛ no porphyrin
porpoise;porpoise a wɔfrɛ no porpoise
porridge;koko
porron;porron a wɔfrɛ no porron
port city;hyɛn gyinabea kurow
Port Moresby;Port Moresby na ɛwɔ hɔ
Port of Spain;Spain Hyɛn Gyinabea
port wine;hyɛn gyinabea bobesa
Port-au-Prince;Port-au-Prince na ɛwɔ hɔ
Port-Vila;Port-Vila na ɛwɔ hɔ
port;suhyɛnnyinaeɛ
portable;a wotumi fa so
portal;portal no so
portcullis;portcullis a wɔde yɛ adwuma
porte cochère;porte cochère na ɔkyerɛwee
portend;portend a wɔde kyerɛ
portentous;portentous a ɛyɛ nwonwa
porter;ɔpon ano sohwɛfo
portfolio;portfolio a wɔde kyerɛw nsɛm
porthole;porthole a wɔde hyɛ mu
portico;abrannaa so
portion;fã bi
portmanteau word;portmanteau asɛmfua
portmanteau;portmanteau na ɛyɛ adwuma
Porto-Novo;Porto-Novo na ɛwɔ hɔ
portrait;mfonini a wɔayɛ
portray;yɛ mfonini
Portsmouth;Portsmouth na ɛwɔ hɔ
Portugal;Portugal
Portuguese oak;Portugalfo oak dua a wɔfrɛ no oak
Portuguese Water Dog;Portugalfo Nsu mu Ɔkraman
Portuguese;Portugal kasa
Portuñol;Portuñol kasa mu
pose;pose a wɔde gyina hɔ
Poseidon;Poseidon na ɔkyerɛwee
posh;posh a ɛyɛ fɛ
posit;posit a wɔde gyina hɔ ma
position;gyinabea
positive thinking;nsusuwii pa a wosusuw
positive;aane
positively;wɔ ɔkwan pa so
positivism;adwene a ɛyɛ papa
positivity;adwempa a ɛwɔ hɔ
positron;positron a wɔfrɛ no positron
positronium;positronium a wɔde yɛ aduan
posology;posology ho adesua
posse;posse
possess;ɔwɔ ne hɔ
possessed;a wɔde wɔn ho ahyɛ mu
possessing;possessing a obi wɔ
possession;deɛ ɛwɔ wo
possessive adjective;asɛmfua a ɛkyerɛ biribi a obi wɔ
possessive case;asɛm a ɛfa obi a ɔwɔ obi ho
possessive pronoun;edinnsiananmu a ɛkyerɛ biribi
possessive suffix;asɛmfua a ɛkyerɛ biribi a ɛwɔ akyi
possessive;ɔdedeɛ
possessor;nea ɔwɔ
possibility;ebetumi aba
possible;bɛyɛ yie
possibly;ebia na ɛte saa
possum;possum
post horn;post abɛn
post office box;post office adaka a wɔde mena
post office;post office
post-;fa to-
post-it note;post-it nkyerɛwde
post-production;akyi adeyɛ
post-Soviet;Soviet akyi
post;fa to
postage stamp;stamp a wɔde mena
postage;sika a wɔde mena
postal;postal a wɔde mena
postalveolar;postalveolar a ɛwɔ akyi
postcard;postcard a wɔde mena
postcode;postcode a wɔde mena
poster;poster a wɔde kyerɛw nsɛm
posterior chamber;akyi dan a ɛwɔ akyi
posterior;akyi
posterity;asefo a wɔbɛba
postern;postern, akyi
posthumous;owu akyi
postiche;postiche akyi
postimpressionism;postimpressionism a wɔde di dwuma
postmark;posɔfese agyiraehyɛde
postmodern;nnɛyi akyi de
postmodernism;nnɛyi akyi nsɛm
postmodernist;nnɛyi akyi asɛm
postmodernity;nnɛyi akyi asetra
postnatal;awo akyi
postoperative;oprehyɛn akyi
postpone;tu hyɛ da
postponement;a wɔde bɛto akyiri
postposition;postposition a wɔde gyina akyi
postprandial;adidi akyi
postscript;postscript
postscriptum;kyerɛwsɛm akyi
poststructuralism;nhyehyɛe akyi nhyehyɛe
posttranslational;nkyerɛase akyi
posttraumatic;akyi adwenemhaw
postural;gyinabea a wɔde gyina hɔ
posture;sɛnea obi gyina hɔ
pot;kuku
potable;a wɔnom
potash;potash a wɔde yɛ nneɛma
potassium carbonate;potassium carbonate a wɔde yɛ nneɛma
potassium cyanide;potassium cyanide a wɔde yɛ aduru a wɔfrɛ no cyanide
potassium hydroxide;potassium hydroxide a wɔde yɛ aduru
potassium;potassium a wɔde yɛ nneɛma
potato salad;ɛmo salad a wɔde yɛ aduan
potato starch;ɛmo a wɔde yɛ starch
potato;akiten
potbelly;potbelly
potency;tumi a ɛma obi tumi yɛ ade
potent;tumi a ɛyɛ den
potentate;tumi a ɛma ahoɔden
potential energy;ahoɔden a ebetumi aba
potential;tumi
potentially;a ebetumi aba
potentiation;ahoɔden a wɔde ma
potentilla;potentilla a ɛyɛ den
potentiometer;potentiometer a wɔde kyerɛ sɛnea nneɛma te
pothead;pothead
potholder;obi a ɔte kuku mu
pothole;amena mu
potion;aduru a wɔde sa yare
Potiphar;Potifar
potsherd;nkukuo a wɔayam
potter;ɔnwemfo
pottery;nkuku a wɔde yɛ nneɛma
pouch;kotokuo
poultice;poultice a wɔde yɛ aduru
poultry;nkokɔ nam
pounce;pounce a ɛyɛ hu
pound cake;pound keeki a wɔde yɛ
pound sterling;pound sterling a ɛyɛ den
pound;pɔn
pour;hwie gu
pout;pout
pouting;pouting a wɔde di dwuma
poverty trap;ohia afiri
poverty-stricken;a ohia ahyɛ wɔn ma
poverty;ohia
pow;pow
powder keg;powder keg a wɔde yɛ nneɛma
powder;powder a wɔde yɛ nneɛma
powdered sugar;asikre a wɔde powder ayɛ
powdered;a wɔde powder ayɛ
power cut;anyinam ahoɔden a wɔatwa
power forward;tumi a ɛkɔ anim
power line;anyinam ahoɔden nhama
power of attorney;tumi a wɔde ma mmaranimfo
power set;tumi a wɔde ahyɛ mu
power station;anyinam ahoɔden adwumayɛbea
power strip;tumi a wɔde hyɛ mu
power supply;anyinam ahoɔden a wɔde ma
power;tumi
powerbank;powerbank a wɔde di dwuma
powerful;ano yɛ den
powerfully;tumi mu
powerless;tumi a enni hɔ
powerlessness;tumi a wonni
powerlifting;powerlifting a wɔde ma
powertrain;powertrain a wɔde yɛ adwuma
Poznan;Poznan na ɔkyerɛwee
pozole;pozole a wɔde yɛ adwuma
practicability;sɛnea wobetumi de adi dwuma
practicable;a wobetumi de adi dwuma
practical joke;aseresɛm a mfaso wɔ so
practical;wotumi yɛ
practicality;mfaso a ɛwɔ so
practically;ɛkame ayɛ sɛ
practice;anamɔntuo
practise;anamɔntuo
practiser;obi a ɔyɛ adwuma
praenomen;praenomen (praenomen) a ɛwɔ hɔ
Pragian;Pragian kasa
pragmatic;adeyɛ a ɛyɛ adwuma
pragmatically;wɔ ɔkwan a mfaso wɔ so so
pragmatics;pragmatics a wɔde di dwuma
pragmatism;pragmatism a wɔde di dwuma
Prague;Prague
Praia;Praia
Prairial;Prairial a ɛwɔ hɔ
prairie dog;prairie kraman
prairie;prairie a ɛwɔ hɔ
praise;hoahoa
praiseworthy;a ɛfata nkamfo
prajna;prajna
pram;pram a wɔde fa mmofra
prance;prance a ɛyɛ hu
Prancer;Prancer na ɔkyerɛwee
prank;nnaadaa
prankster;ɔyɛ obi a ɔyɛ agoru
praseodymium;praseodymium a wɔde yɛ aduru
prattle;kasa a wɔde bɔ nkɔmmɔ
prawn;prawn a wɔfrɛ no prawn
pray;bɔ mpaeɛ
prayer beads;mpaebɔ nhwiren
prayer flag;mpaebɔ frankaa
prayer;mpaebɔ
praying mantis;mpaebɔ mantis
pre-;ansa na .
pre-Columbian;ansa na Columbia reba no
pre-ejaculate;ansa na woatumi abɔ no
preach to the choir;ka asɛm no kyerɛ nnwontofo kuw no
preacher;ɔsɛnkafo
Prealps;Prealps a ɛwɔ hɔ
preantepenultimate;preantepenultimate a edi kan
precarious;a ɛyɛ nea asiane biara nni ho
precariously;wɔ ɔkwan a ɛyɛ hu so
precariousness;precariousness a ɛyɛ nea ɛyɛ hu
precarity;precarity a ɛyɛ hu
precautionary;ahwɛyiye a wɔde yɛ adwuma
precede;di anim
precedence;nea edi kan
precedent;nea edi kan
precession;precession a wɔde di dwuma
precious metal;dade a ɛsom bo
precious stone;ɔbo a ɛsom bo
precious;aboɔden
preciousness;bo a ɛsom bo
precipice;precipice a ɛwɔ hɔ
precipitate;precipitate a ɛyɛ mmerɛw
precipitately;ntɛmntɛm
precipitation;osutɔ a ɛtɔ
precipitous;precipitous a ɛyɛ hu
precipitously;ntɛmntɛm
precise;pɛpɛɛpɛ
precisely;saa pɛpɛɛpɛ
precision;pɛpɛɛpɛyɛ
preclude;siw kwan
precocious;nea ɛba ntɛm
precognition;precognition a wodi kan hu
preconceived;a wɔadi kan asusuw ho
precum;precum a wɔde di dwuma
precursor;nea edi kan no
predator;aboa a ɔkyere mmoa we
predatory;a wɔkyere mmoa we
predecessor;nea odii n’anim
predestination;nkrabea a wɔahyɛ ato hɔ
predestine;predestine a wɔahyɛ da ayɛ
predicament;ahokyere mu
predicate;predicate a ɛkyerɛ biribi
predict;ka to hɔ
predictability;nea wotumi hyɛ ho nkɔm
predictable;wotumi hyɛ ho nkɔm
prediction;nkɔmhyɛ
predictive;nkɔmhyɛ a wɔde hyɛ nkɔm
predilection;predilection a wɔde di dwuma
predisposition;su a ɛma obi yɛ ade tra so
predominant;nea ɛwɔ hɔ titiriw
preeclampsia;preeclampsia a ɛma obi ho kyere no
preeminence;dibea a edi kan
preeminent;nea ɛsen biara
preemption;preemption a wɔde di kan
preemptive;preemptive a wɔde di kan yɛ adwuma
preemptively;ansa na wɔadi kan ayɛ
preen;preen
preexist;wɔadi kan atra hɔ
prefabricated;wɔadi kan ayɛ
prefabrication;prefabrication a wɔde yɛ nneɛma
preface;nnianim asɛm
prefatory;prefatory a wɔde di dwuma
prefecture;ɔmantam no mu
prefer;pɛ sene
preferable;nea eye sen biara
preferably;sɛ ɛbɛyɛ yiye a
preference;deɛ wopɛ
preferential;nea wɔpɛ
preferred stock;stock a wɔpɛ
preferred;wɔpɛ sɛ wɔyɛ saa
prefetch;prefetch a wobɛfa no
prefix;asɛm a wɔde di kan
prefixation;asɛmfua a wɔde di kan
pregnancy;nyinsɛn a obi nya
pregnant;nyem
preheat;di kan yɛ hyew
prehensile;prehensile a wɔde hyɛ obi nsa
prehistoric;ansa na abakɔsɛm reba
prehistory;abakɔsɛm a edi kan
prehnite;prehnite a wɔde hyɛ obi nsa
prejudice;di kan bua fɔ
prejudiced;adwemmɔne
prejudicial;adwemmɔne a wɔde di dwuma
prelate;ɔsɔfo panyin
preliminary;nea edi kan
prelude;nnianim asɛm
premarital;ansa na wɔaware
premature birth;awo a ɛba ntɛm
premedication;aduru a wɔde di kan yɛ
premeditated;wɔadi kan asusuw ho
premier;ɔmanpanyin
premiere;nea edi kan a wɔde kyerɛe
premise;premise a wɔde gyina so
premises;beaeɛ hɔ
premium;ntetohɔ
premonition;premonition
prenatal;ansa na wɔawo
prenup;prenup a wɔde bɛyɛ aware
prenuptial agreement;apam a wɔyɛe ansa na wɔaware
preoccupied;a n’adwene asi so
prepaid;wɔatua ho ka ansa na wɔayɛ
preparation;ahoboa
prepare;yɛ krado
preparedness;ahosiesie a wɔyɛ
prepend;prepend a wɔde di dwuma
preponderance;dodow a ɛdɔɔso
preposition;din-anim-sibea
prepositional case;prepositional asɛm a wɔde di dwuma
prepositional phrase;kasasin a wɔde hyɛ anim
preposterous;nkwaseasɛm
preppy;preppy a wɔde yɛ adwuma
prepubescent;prepubescent
preputial;preputial a wɔde di dwuma
prequel;prequel a wɔde di dwuma
prerequisite;nea ɛsɛ sɛ wodi kan yɛ
prerogative;hokwan a obi wɔ
presage;presage (nsɛm a wɔka kyerɛ
presbycusis;presbycusis a wɔde wɔn ho hyɛ mu
presbyopia;presbyopia a ɛwɔ nipadua no mu
presbypropria;presbypropria a wɔde ma
presbyter;presbyter a ɔyɛ ɔpanyin
Presbyterian;Presbyterianfo a wɔyɛ adwuma wɔ hɔ
Presbyterianism;Presbyteriansom a wɔde di dwuma
preschool;mmofra a wonnya nkɔɔ sukuu
prescience;prescience ho nimdeɛ
prescribe;kyerɛw ma
prescription drug;aduru a wɔkyerɛw ma obi
prescription;nnuru a wɔkyerɛw ma obi
prescriptivism;ahyɛde a wɔde ma
presence;wɔ hɔ
present participle;mprempren adeyɛ asɛm
present tense;mprempren bere
present;akyɛdeɛ
presentable;a wɔde kyerɛ
presentation;kasakyerɛ
preservative;ade a ɛkora nneɛma so
preserve;kora
presidency;ɔmampanyin dibea
president-elect;ɔmampanyin a wɔapaw no
president;ɔmanpanin
presidential;ɔmampanyin a ɔyɛ ɔmampanyin
Presidents' Day;Ɔmampanyin Da
press conference;nsɛm ho amanneɛbɔfo nhyiam
press release;nsɛm ho amanneɛbɔfo amanneɛbɔ
press;mia
pressie;pressie a wɔde kyerɛw nsɛm
pressure cooker;pressure cooker a wɔde yɛ aduan
pressure;nhyɛsoɔ
pressurize;nhyɛso
prestidigitation;anuonyam a wɔde ma
prestidigitator;prestidigitator a ɔde ne ho hyɛ mu
prestige;anuonyam a wonya
prestigious;a ɛwɔ anuonyam
presumably;wosusuw sɛ ɛyɛ saa
presumed;wosusuw sɛ
presumptuous;ahantan a wɔyɛ
presuppose;fa no sɛ nea ɛwɔ hɔ ansa
pretend;hyɛ da
pretender;ɔyɛ obi a ɔyɛ ne ho sɛ ɔyɛ
pretension;atoro a wɔyɛ
pretentious;a wɔyɛ wɔn ho sɛ wɔyɛ
preterite;preterite a ɛyɛ nea wɔahyɛ da ayɛ
preterition;preterition a wɔde di dwuma
pretermit;ansa na bere aso
preternatural;nea ɛboro abɔde so
pretext;anoyisɛm
Pretoria;Pretoria na ɔkyerɛwee
prettily;fɛfɛɛfɛ
pretty much;ɛkame ayɛ sɛ ɛyɛ
pretty;fɛfɛɛfɛ
pretzel;pretzel a wɔfrɛ no pretzel
prevail;di nkonim
prevalence;sɛnea abu so
prevalent;abu so
prevent;si kwan
prevention;siw a wɔde siw ano
preventive;a wɔde siw ano
