a;that
ahwehwɛ a wɔde hwɛ ahwehwɛ;goggles
ahwehwɛ a wɔde hwɛ akyi;rear-view mirror
ahwehwɛ a wɔde hwɛ owia;sunglasses
ahwehwɛ a wɔde tow tuo;shot glass
ahwehwɛ a wɔde yɛ ade;pearl
ahwehwɛ a wɔde yɛ ahwehwɛ;crystallization
ahwehwɛ a wɔde yɛ harmonica;glass harmonica
ahwehwɛ a wɔde yɛ kuruwa;cupping glass
ahwehwɛ a wɔde yɛ nneɛma;crystal
ahwehwɛ a wɔde yɛ oyster;pearl oyster
ahwehwɛ a wɔde yɛ ɔdan atifi;glass ceiling
ahwehwɛ a ɛkɔ ɔkwan biako so;one-way mirror
ahwehwɛ a ɛma nneɛma kɛse yɛ kɛse;magnifying glass
ahwehwɛ a ɛte sɛ ahwehwɛ;glassy
ahwehwɛ a ɛte sɛ ntɛtea;pearly antshrike
ahwehwɛ a ɛyɛ ahwehwɛ;crystalline
ahwehwɛ a ɛyɛ nwonwa;mirage
ahwehwɛ adwumayɛbea ahorow;glassworks
ahwehwɛ bɔɔl;crystal ball
ahwehwɛ kɔnmuade;pearl necklace
ahwehwɛ mfonini;mirror image
ahwehwɛ yɛfo;glassmaker
ahwehwɛde a wɔhwehwɛ;requirement
ahwiesa;candy
ahwɛde a ɛyɛ nwonwa;spectacle
ahwɛeɛ;observation
ahwɛfo adwuma;pastoral
ahwɛgorɔ;drama
ahwɛyie;caution
ahwɛyie;safety
ahwɛyiye;circumspect
ahwɛyiye;wary
ahwɛyiye a wɔde hwɛ nneɛma so;providentness
ahwɛyiye a wɔde yɛ adwuma;precautionary
ahwɛyiye a wɔmfa nyɛ hwee;carelessness
ahwɛyiye a wɔyɛ;meticulousness
ahwɛyiye a ɛboro so;overcareful
ahwɛyiye mu;cautiously
ahwɛyiye so;gingerly
ahwɛyiye so;scrupulously
ahyehyɛde ahorow;institutional
ahyehyɛde mu de;organizational
ahyia;encounter
ahyiasɛm;coincidence
ahyɛ abufuw;provoke
ahyɛ da ayɛ;intentional
ahyɛ mu ma dodo;overfill
ahyɛase a wɔde hyɛ ase;initiation
ahyɛaseɛ;initial
ahyɛde;behest
ahyɛde;commandment
ahyɛde;ordinance
ahyɛde a wɔde hyɛ mu;enforcement
ahyɛde a wɔde hyɛ mu;undertaking
ahyɛde a wɔde ma;mandate
ahyɛde a wɔde ma;prescriptivism
ahyɛde a wɔde mae;decree
ahyɛde a wɔde siw ano;restraining order
ahyɛde a wɔhyɛe;edict
ahyɛde a ɛkyerɛ sɛ wɔpene so;consent decree
ahyɛde gyinabea;command post
ahyɛde nkɔnsɔnkɔnsɔn;chain of command
ahyɛde pair;ordered pair
ahyɛde sɛ wɔde obi bɛto afiase;mandatory detention
ahyɛmma a wɔde tu mmirika;rowing
ahyɛnsode;filling
ahyɛnsode;icon
ahyɛnsode;inauguration
ahyɛnsode;logo
ahyɛnsode a wɔde hyɛ;coat of arms
ahyɛnsodeɛ;symbol
ahyɛnsoɔ;label
ahyɛnsoɔ;tag
ahɔho adwumayɛfo;guest worker
ahɔho ho tan;xenophobe
ahɔho ho tan;xenophobia
ahɔho ho tan;xenophobic
ahɔho nhoma;guest book
ahɔho nipadua;foreign body
ahɔhobea;hotel
ahɔhodan;guesthouse
ahɔhodan;inn
ahɔhodan a wɔtra mu;boarding house
ahɔhodan mu;hostel
ahɔhodan mu;lodge
ahɔhodan mu;motel
ahɔhodan wura;innkeeper
ahɔhoyɛ;alienate
ahɔhoyɛ;alienation
ahɔhoyɛ;hospitality
ahɔhoyɛ;sojourn
ahɔhoyɛ a wonni;inhospitality
ahɔhoyɛfo;hospitable
ahɔhoyɛfo;hostess
aida na ɔkyerɛwee;Aida
aide-de-nsraban mu;aide-de-camp
aids;AIDS
aiglet a ɛyɛ fɛ;aiglet
ail;ail
aileron a wɔfrɛ no aileron;aileron
ailuro- .;ailuro-
ailurophobia a ɛyɛ hu;ailurophobia
ainu;Ainu
aioli;aioli
airan;airan
airbus a wɔde fa nnipa;airbus
airfoil a wɔde yɛ nneɛma;airfoil
airhead;airhead
aitch;aitch
ajar;ajar
ajax na ɔyɛ;Ajax
aka;stack
aka;stuck
aka a wɔde tua ho ka;liabilities
aka akyi;late
aka kakra bi;almost
aka na ɛyɛ;AKA
aka no;victim
akacia a wɔfrɛ no acacia;acacia
akadeɛ;equipment
akadeɛ;facility
akadeɛ;instrument
akadeɛ;tool
akan;Akan
akannifoɔ;leadership
akansi;rivalry
akansi a wɔde di dwuma;competitiveness
akansi a wɔde di dwuma;pageant
akansi a wɔde di dwuma wɔ akansi mu;championship
akansi no mu;tournament
akansie;competition
akansie;competitive
akansie;match
akansifo;competitor
akansifo;contender
akansifo;contestant
akanyan;arousal
akanyan no;stir up
akasakasa;altercation
akasakasa;confrontation
akasakasa;contend
akasakasa;discord
akasakasa;feud
akasakasa;squabble
akasakasa a ɛne wɔn ho wɔn ho di asi;conflict of interest
akasam a wɔde yɛ adwuma;loudspeaker
akataso a wɔde akata so;masked
akatua;salary
akatua a wɔde kɔ fie;take-home pay
akatua a wɔde ma;arrear
akatua a wɔde ma;emolument
akatua a wɔde ma;recompense
akatua a wɔde ma;remuneration
akatua a wɔde tua ho ka;indemnity
akatua a wɔde tua ho ka;pay-off
akatua a wɔde tua ho ka;payback
akatua da;payday
akatua ho nhyehyɛe;payroll
akawnso;account
akekantwɛre;scorpion
akenkan;novel
akenkan;reading
akenkan a wotumi kenkan;readability
akenkan a wɔasiesie no yiye;proofread
akenkan a wɔkenkan;recitation
akenkan ahwehwɛ;reading glasses
akenkan ho nsɛm;reading material
akenkan ne akyerɛw;literacy
akenkan ne akyerɛw;literate
akenkan ne akyerɛw a wonnim;illiteracy
akenkan ne akyerɛw a wontumi nkenkan;dyslexia
akenkan nkutoo;read-only
akenkan nkutoo memory;read-only memory
akenkan yiye;well-read
akenkan-kyerɛw;read-write
akenkanfo dodow;readership
akimbo;akimbo
akin;akin
akinete;akinete
akisikuru;acne
akisikuru;bladder
akisikuru;blister
akisikuru;cramp
akisikuru;epileptic
akisikuru;fracture
akisikuru;measles
akisikuru;palsy
akisikuru;pimple
akisikuru;pus
akisikuru;scab
akisikuru;scabies
akisikuru;sneeze
akisikuru;sprain
akisikuru;ulcer
akisikuru;wart
akisikuru a wɔde yɛ cherry;bladder cherry
akisikuru a ɛma mogya tu;haemorrhoids
akisikuru a ɛma obi ho kyere no;diphtheria
akisikuru a ɛma obi ho kyere no;dysentery
akisikuru a ɛma obi ho kyere no;epilepsy
akisikuru a ɛma obi ho kyere no;gall bladder
akisikuru a ɛma obi ho kyere no;gonorrhea
akisikuru a ɛma obi ho kyere no;rheumatic
akisikuru a ɛma obi ho kyere no;sclerosis
akisikuru a ɛma obi ho popo;concussion
akisikuru a ɛma obi ho popo;convulsion
akisikuru a ɛma obi ho yɛ hyew;hemorrhoid
akisikuru a ɛma obi ho yɛ hyew;rhinorrhea
akisikuru a ɛma obi ho yɛ no hyew;allergic rhinitis
akisikuru a ɛma obi home;asphyxiation
akisikuru a ɛyɛ den;dandruff
akisikuru a ɛyɛ hu;blistering
akisikuru a ɛyɛ hu;pustule
akisikuru a ɛyɛ mmerɛw;smallpox
akisikuru ho ɔbenfo;rheumatologist
akiten;potato
akitɛte;architect
akkad kasa mu;Akkadian
ako;parrot
akoa;servant
akoa;slave
akoa-abeawa;slave-girl
akode a wobeyi afi hɔ;disarm
akode a wobeyi afi hɔ;disarmament
akode a wɔde abɔde a nkwa wom yɛ;biological weapon
akode a wɔde ahyɛ wɔn ho;armored
akode a wɔde ahyɛ wɔn ho;armoured
akode a wɔde di dwuma;armed
akode a wɔde di dwuma;weaponry
akode a wɔde hyɛ;armor
akode a wɔde hyɛ;armour
akode a wɔde korɔn;armed robbery
akode a wɔde mframa a ano yɛ den di dwuma;radiological weapon
akode a wɔde yɛ adwuma;armament
akode a wɔde yɛ adwuma;weapon
akode a ɛyɛ hyew a wɔde yɛ adwuma;thermonuclear weapon
akode ho mmirikatu;arms race
akodekorabea;armoury
akodekorabea;arsenal
akodeyɛfo;armorer
akodi a wɔadi afra;mixed martial arts
akodi a wɔagyae;armistice
akodi ho adwinni;art of war
akodi ho adwinni;martial art
akodi ntam akodi;interwar
akodi ti;warhead
akokoaa;chick
akokoaa a osu;crybaby
akokoaa a wɔde wɔn ho hyɛ mu;baby shower
akokoaa abarimaa;baby boy
akokoaa anim;baby face
akokoaa buggy;baby buggy
akokoaa grand;baby grand
akokoaa home;baby's breath
akokoaa mu duru;baby weight
akokoaa toa;baby bottle
akokoduru;bravery
akokoduru;dare
akokoduru;daring
akokoduru;gallantry
akokoduru;heroism
akokoduru;valour
akokoduru a wɔde yɛ adwuma;audacity
akokoduru so;boldly
akokoduru so;bravely
akokodurufo;audacious
akokodurufo;heroic
akokodurufo;intrepid
akokodurufo;valiant
akokoɔduro;bold
akokoɔduro;brave
akokoɔduro;confident
akokoɔduro;courage
akokɔ;chicken
akokɔ;cock
akokɔ;rooster
akokɔ a wɔayam;chicken scratch
akokɔ a ɔtow;laying hen
akokɔ a ɔyɛ ɔkraman;chicken hawk
akokɔ fi adi;chicken out
akokɔ nan;chicken feet
akokɔ nan;chicken leg
akokɔ nsuo;chickenshit
akokɔ ntaban;chicken wing
akokɔ nufu;chicken breast
akokɔ soup;chicken soup
akokɔ waya;chicken wire
akokɔ-a-doodle-doo;cock-a-doodle-doo
akokɔ-a-wɔ-abotan;cock-of-the-rock
akokɔ-koma;chicken-hearted
akokɔko a wɔko;cockfight
akokɔko a wɔko;cockfighting
akokɔsrade;cockatiel
akokɔsrade;cockchafer
akokɔsrade;cockerel
akokɔsrade;cockroach
akokɔsrade;cockscomb
akokɔsrade;crocodile
akokɔsrade a wɔtaa de di dwuma;common cockchafer
akokɔsrade a ɛma obi nya akisikuru;chicken pox
akokɔsrade tetew;crocodile tear
akokɔsuo a ɔnom;cocksucker
akoma;ego
akoma;heart
akoma;hearten
akoma mu hemmaa;queen of hearts
akoma mu hene;king of hearts
akoma mu tɔfe;sweetheart
akongua a ɛkorɔn;highchair
akonnwa;bench
akonnwa;chair
akonnwa;couch
akonnwa;desk
akonnwa;furniture
akonnwa;seat
akonta;brother-in-law
akontaabu;calculation
akontaabu;compute
akontaabu;Numbers
akontaabu;statistic
akontaabu a wɔde bu akontaa;calculating
akontaabu a wɔde bu akontaa;estimation
akontaabu a wɔde di dwuma;computation
akontaabu a wɔde kyerɛw nneɛma;enumeration
akontaabu a wɔde ma;accountability
akontaabu a ɛsɛ sɛ wogye;accounts receivable
akontaabu a ɛsɛ sɛ wotua;accounts payable
akontaabu afiri;calculator
akontaabu ahorow;statistics
akontaabu ho adesua;mathematics
akontaabu ho adesua;maths
akontaabu ho nimdeɛ;accountancy
akontaabu ho nimdeɛ;accounting
akontaabu ho nimdeɛ;arithmetic
akontaabu ho nimdeɛ;mathematical
akontaabu ho ɔbenfo;mathematician
akontaabu kronkron;pure mathematics
akontaabu kyerɛ;arithmetic mean
akontaabu mu;accountably
akontaabu mu nhwehwɛmu;numerical analysis
akontaabu mu no;statistically
akontaabu mu nsɛm;numerical
akontaabu mu nsɛm;statistical
akontaabu nhoma;account book
akontaabu nkrataa;count cards
akontaabu to;account to
akontaabufo;accountant
akontaabufo;auditor
akontaabufo;numerator
akontaahyɛde;numeral
akontaahyɛde a ntease wom;rational number
akontaahyɛde a wɔde wɔn adwene bu;imaginary number
akontaahyɛde a ɛyɛ den;complex number
akontaahyɛde a ɛyɛ kardinal;cardinal numeral
akontaahyɛde a ɛyɛ nwonwa;odd number
akontaahyɛde ho nsusuwii;number theory
akontaahyɛde titiriw;prime number
akontabuo;audit
akoradan;warehouse
akorade a wɔfrɛ no coral;coral
akorade a ɛwɔ abon mu;coral reef
akorade bobe a wɔfrɛ no coral;coral vine
akorae a wɔde nneɛma gu mu;reservoir
akoraeɛ;storage
akra nyinaa da;All Souls' Day
akraman a wokum wɔn;deerslaughter
akraman a wɔde wɔn ho hyɛ nsu mu a wɔfrɛ no bell spider;diving bell spider
akraman a wɔfrɛ wɔn alligator;alligator
akraman a wɔfrɛ wɔn baboon;baboon
akraman a wɔfrɛ wɔn crustacean;crustacean
akraman a wɔfrɛ wɔn reindeer;reindeer
akraman a wɔfrɛ wɔn roe deer;roe deer
akraman a wɔfrɛ wɔn scorpionfish;scorpionfish
akraman a wɔfrɛ wɔn spider crab;spider crab
akraman a wɔn dua yɛ fitaa;white-tailed deer
akraman a wɔn ho yɛ nsensanee;spiny dogfish
akraman a ɛyɛ bruu;blue shark
akraman aduan;dog food
akraman ba;puppy
akraman fitaa kɛse;great white shark
akraman kɔkɔɔ;red deer
akraman sẽ;canine tooth
akraman sẽ tuna;dogtooth tuna
aksai chin na ɔkyerɛwee;Aksai Chin
aksel;axle
akuafo a wɔyɛ akuafo;peasantry
akuafoɔ;peasant
akumaa;sister-in-law
akumaa koraa;youngest
akunafo;widowed
akura;mouse
akura;village
akuraa;cottage
akuraa a wɔde kɔ pɛnhyen;retirement village
akuraa ase ɔkwasea;village idiot
akuraa aseni;villager
akuraa ketewaa bi;hamlet
akurase;rural
akurase tuu;remote
akuru a ɛwɔ nipadua no mu;lesion
akuru a ɛyɛ kurukuruwa;bruise
akuru a ɛyɛ kurukuruwa;ulcerate
akuru a ɛyɛ kurukuruwa;ulcerous
akuru ntini;scar tissue
akutu;coconut
akutu;cocoon
akutu;gourd
akutu;shellfish
akutu a wɔde yɛ nnuadewa;coconut palm
akutu a wɔfrɛ no chickpea;chickpea
akutu a wɔfrɛ no coriander;coriander
akutu a wɔfrɛ no cormorant;cormorant
akutu a wɔfrɛ no courgette;courgette
akutu a wɔfrɛ no mussel;mussel
akutu a ɛyɛ fitaa;grey partridge
akutu krak;coconut crab
akutu mu ngo;coconut oil
akutu nsu a wɔde yɛ;orange juice
akutu nufusu;coconut milk
akutu tuntum a wɔfrɛ no woodpecker;black woodpecker
akuturuku;fistful
akuturuku;pierce
akuturuku;pussy
akuturuku;scythe
akuturuku;slap
akuturuku;sling
akuturuku;smite
akuturuku;snort
akuturuku wɔ anim;slap in the face
akuturukubɔ;boxing
akuturukubɔ;spanking
akuturukubɔ;wrestle
akuturukubɔ;wrestling
akuturukubɔ da;Boxing Day
akuturukubɔ nsateaa;boxing glove
akuturukubɔfo;boxer
akuturukubɔfo;wrestler
akuturukubɔfo ntade tiaa;boxer briefs
akuturukubɔfo ntade tiaa;boxer shorts
akuw a wɔbom yɛ adwuma;conglomeration
akuw a wɔde wɔn ho hyɛ mu;factious
akuw ahorow;clubs
akuwakuw;clump
akwaa;organ
akwaa a wɔde si ananmu;organ transplant
akwaa a wɔtwa;organ harvesting
akwaa a ɛho hia;vital organ
akwaa a ɛma nipadua no yɛ adwuma;organogenesis
akwaa a ɛwɔ nipadua no mu;internal organ
akwaa ho nhyehyɛe;organography
akwaa paipu;organ pipe
akwaaba;welcome
akwaaba;you're welcome
akwaaba a wɔde ma;welcoming
akwadworɔ;lazy
akwahosan ho aduan;health food
akwahosan ho aduru;health product
akwahosan ho insurance;health insurance
akwahosan ho nhyehyɛe;health care
akwahosan pa;wellness
akwakoraa;old man
akwamma fie;holiday home
akwan a wɔfa so yɛ nneɛma;means of production
akwan a ɛtwam;crossroads
akwan abien so;bidirectional
akwan anum;fiveway
akwan tenten, atosɛm atenten;long ways, long lies
akwanhwɛ;expectation
akwanhwɛ a wɔhwɛ kwan;anticipation
akwanhyia;accident
akwanhyia mu;accidental
akwankyerɛ;guidance
akwankyerɛ;guideline
akwankyerɛ;manual
akwankyerɛ ahorow;directions
akwankyerɛ kuw;steering group
akwankyerɛ nhoma;guide book
akwankyerɛfo bagua no;board of directors
akwannya;opportunity
akwannya;privilege
akwanside;hindrance
akwanside;hurdle
akwanside;impediment
akwanside a wɔde siw kwan;barricade
akwanside kɛse a ɛwɔ akwantuo;Great Barrier Reef
akwansideɛ;barrier
akwansideɛ;obstacle
akwansra a wɔde ko tia;counterespionage
akwansrafo;spy
akwansrafo adwuma;espionage
akwantu a wɔde kɔ adwuma;commuting
akwantu a wɔde tu kwan;expedition
akwantu a wɔde tu kwan;trekking
akwantu a ɛkɔ ne baabiara;round trip
akwantu a ɛkɔ ntɛmntɛm;rapid transit
akwantu bɔne;bad trip
akwantu ho akwankyerɛfo;travel guide
akwantu nhyehyɛe;itinerary
akwantu tumi krataa;passport
akwantufo;traveller
akwantufo a wɔkyinkyin;vagabond
akwantufo akwansin;passenger mile
akwantufo check;traveller's cheque
akwantufo kilomita;passenger kilometer
akwantufo kwankyerɛfo;tour guide
akwantufo mmorɔnoma;passenger pigeon
akwantuo;journey
akwantuo;trip
akwantuo;voyage
akwantuo a wɔde fa kwan so;navigation
akwantuo a wɔde fa kwan so;transit
akwantuo a wɔde kɔ adwuma mu;tour of duty
akwantuo a wɔde kɔ baabiara;excursion
akwantuo adwumayɛbea;travel agency
akwantuo ho adwumayɛfoɔ;travel agent
akwantuo ho akwantuo;pilgrimage
akwantuo mu;traveling
akwila;Aquila
akyekyɛ;distribution
akyerɛw krataa;writing pad
akyerɛw pon so;writing desk
akyerɛw wɔ ɔfasu no so;writing on the wall
akyerɛw-nko;write-only
akyerɛwfo a wɔyɛ;authorship
akyerɛwfo a wɔyɛ adwuma wɔ hɔ;clerestory
akyi;astern
akyi;backside
akyi;backward
akyi;backwards
akyi;behind the scenes
akyi;lateral
akyi;outer
akyi;posterior
akyi a wosusuw;hindsight
akyi a wɔde bɔ obi;backstroke
akyi a wɔde hyɛ akyi;backsplash
akyi a wɔde hyɛ akyi;backstitch
akyi a wɔde tu mmirika;retropropulsion
akyi a wɔde twitwiw akyi;backscratcher
akyi a wɔka;backbite
akyi a wɔsan kɔ akyi;regression
akyi a ɛboro so;back of beyond
akyi a ɛne no hyia;backward compatible
akyi a ɛyɛ akyi berɛmo;lateral rectus
akyi a ɛyɛ yaw;backache
akyi adeyɛ;post-production
akyi adwene;afterthought
akyi adwenemhaw;posttraumatic
akyi akatasoɔ;back cover
akyi amemene;hindbrain
akyi asɛm;background
akyi asɛm;backstory
akyi bag;backpack
akyi bag a wɔde kɔ;backpacking
akyi berɛmo;anus
akyi berɛmo;buttock
akyi berɛmo;dorsal fin
akyi berɛmo;groin
akyi berɛmo;spine
akyi berɛmo;spleen
akyi berɛmo;testicle
akyi berɛmo a wɔtow;lumbar puncture
akyi berɛmo board;spine board
akyi berɛmo mu;spinal
akyi berɛmo mu adum;vertebral column
akyi berɛmo mu akyi berɛmo;lumbar vertebra
akyi berɛmo mu nhwehwɛmu;colonoscopy
akyi berɛmo mu ntini;spinal cord
akyi berɛmo mu ntini a ɛwɔ akyi berɛmo mu;spina bifida
akyi berɛmo mu tap;spinal tap
akyi berɛmo ntam;intervertebral
akyi berɛmo ntam disc;intervertebral disc
akyi dan;backroom
akyi dan a ɛwɔ akyi;posterior chamber
akyi dompe;backbone
akyi dɛ;aftertaste
akyi hann;backlit
akyi hɔ;backyard
akyi kanea;backlight
akyi kanea;taillight
akyi kwan;backspace
akyi kɔ anim;back to front
akyi mfonini;backdrop
akyi ne akyi;back and forth
akyi nkongua;back seat
akyi nsunsuanso;aftereffect
akyi ogya;back fire
akyi po so hyɛn mu panyin;rear admiral
akyi pon;tailgate
akyi wiase;afterworld
akyi ɛnne nnyigyei;back vowel
akyi-akyi-akyi;back-to-back
akyi-nhyehyɛe;back-formation
akyi-nkyerɛase;back-translate
akyi-wosow a ɛbae;aftershock
akyide;abhor
akyide;abhorrence
akyide;abhorrent
akyide;abominable
akyide;abominate
akyide;abomination
akyide;aversion
akyide;detest
akyide;disgust
akyide;heinous
akyide;loath
akyide;loathe
akyide;loathing
akyide a ɛyɛ abofono;odious
akyide a ɛyɛ abofono;repugnant
akyide a ɛyɛ fɛ;ugliness
akyide te sɛ bɔne;ugly as sin
akyidifo;follower
akyigyina;backfire
akyigyina;backlash
akyigyina;setback
akyigyinafo;backbencher
akyigyinafo;backgammon
akyigyinafo;backpacker
akyigyinafo;backrest
akyigyinafo;rearguard
akyigyinafo;stern
akyigyinafo;suffix
akyinnye biara nni ho;definite
akyinnye biara nni ho;definitively
akyinnye biara nni ho;doubtless
akyinnye biara nni ho;for sure
akyinnye biara nni ho;indubitable
akyinnye biara nni ho;no doubt
akyinnye biara nni ho;questionably
akyinnye biara nni ho;unquestioningly
akyinnye biara nni ho;without a doubt
akyinnye biara nni ho sɛ;doubtfully
akyinnye biara nni ho sɛ;undoubtedly
akyinnyegye;contention
akyinnyegye;controversy
akyinnyegye;polemic
akyinnyegye a wɔde bɔ abira;counterargument
akyinnyegye a wɔde di dwuma;argumentative
akyinnyegye wom;contentious
akyinnyegye wom;doubtful
akyinnyegye wɔ ho;arguable
akyinnyegye wɔ ho;disputable
akyinnyegyefo;scepticist
akyinnyegyefo;skeptic
akyinnyegyefo;skeptical
akyinnyeɛ;argument
akyinnyeɛ wɔ ho;controversial
akyire;back
akyire;behind
akyire;bye
akyire;farewell
akyire;goodbye
akyire;later
akyire;latter
akyire;rear
akyire a ɛma obi kae ade;retrograde amnesia
akyire yɛbɛhyia;see you later
akyiri yi;later on
akyiri yi;laters
akyiri yi;subsequent
akyirikyiri;Afar
akyirikyiri;away
akyirikyiri;by far
akyirikyiri;distant
akyirikyiri;far-flung
akyirikyiri;faraway
akyirikyiri;long haul
akyirikyiri;remotely
akyirikyiri a obi wɔ;remoteness
akyirikyiri a wohu ade;farsightedness
akyirikyiri a wɔde di dwuma;remote control
akyirikyiri a ɛyɛ pɛ;equidistant
akyirikyiri asɛm;far point
akyirikyiri hwɛ;remote viewing
akyirikyiri ne akyirikyiri;far and wide
akyirikyiri sen biara;furthest
akyiwadeɛ;forbidden
akyiwadeɛ;obscene
akyɛdeɛ;gift
akyɛdeɛ;present
akɔ;gone
akɔ ahomegyeɛ mu;retired
akɔmfo;bewitch
akɔmfo;bewitched
akɔmfosɛm;bewitching
akɔmfosɛm;divination
akɔnnɔ;appetite
akɔnnɔ;attractive
akɔnnɔ;covet
akɔnnɔ;crave
akɔnnɔ;desirous
akɔnnɔ;infatuate
akɔnnɔ;longing
akɔnnɔ;yearn
akɔnnɔ;yearning
akɔnnɔ a wɔde di dwuma;lasciviousness
akɔnnɔ a wɔde wɔn ho hyɛ mu;infatuation
akɔnnɔ a ɛma obi nya akɔnnɔ;sensualism
akɔnnɔ a ɛma obi nya akɔnnɔ;sensuality
akɔnnɔ aba;passion fruit
akɔnnɔ bɔne;concupiscence
akɔnnɔ bɔne;cupidity
akɔnnɔ bɔne;lust
akɔnnɔ bɔne;lustful
akɔnnɔ bɔne;voluptuous
akɔnnɔ mu;lustfully
akɔre a ne dua yɛ tiaa;short-tailed parrot
akɔre a wɔfrɛ no acorn;acorn
akɔre a wɔfrɛ no peacock;peacock
akɔre a wɔfrɛ no spider;spider
akɔre a wɔfrɛ no spider wasp;spider wasp
akɔre a wɔfrɛ no spiderweb;spiderweb
akɔre a wɔfrɛ no vulture;vulture
akɔre a ɔreyɛ abura;burrowing parrot
akɔre tuntum a wɔfrɛ no vulture;black vulture
al jazeera na ɔkyerɛwee;Al Jazeera
al-andalus na ɔkyerɛwee;Al-Andalus
al-qaedafo a wɔyɛ adwuma wɔ hɔ;al-Qaeda
alabama;Alabama
alabaster a wɔfrɛ no alabaster;alabaster
alack;alack
alacrity a ɛyɛ den;alacrity
aladdin na ɔkyerɛwee;Aladdin
alamo;Alamo
alan;alan
alanini;alanine
alaric na ɔkyerɛwee;Alaric
alarm dɔn a wɔde bɔ nneɛma;alarm clock
alarmism a ɛyɛ hu;alarmism
alarmist;alarmist
alaska;Alaska
alaskafo;Alaskan
alaskafo malamutefo na wɔte saa;Alaskan Malamute
albacete a wɔfrɛ no albacete;Albacete
alban na ɔkyerɛwee;Alban
albania kasa;Albanian
albania mantam;Republic of Albania
albania na ɛwɔ hɔ;Albania
albany na ɔkyerɛwee;Albany
albatross a wɔfrɛ no albatross;albatross
albedo a wɔde kyerɛw nsɛm;albedo
albert na ɔkyerɛwee;Albert
alberta na ɛwɔ hɔ;Alberta
albin na ɔkyerɛwee;Albin
albinism a wɔde di dwuma;albinism
albino na ɛyɛ;albino
albireo na ɔkyerɛwee;Albireo
albite a wɔfrɛ no albite;albite
album;album
albumen a wɔfrɛ no albumen;albumen
albumin a wɔde yɛ nneɛma;albumin
albuquerque na ɛwɔ hɔ;Albuquerque
alcalá de henares na ɔkyerɛwee;Alcalá de Henares
alcazar na ɔkyerɛwee;alcazar
alchemist ho ɔbenfo;alchemist
alchemy ho adesua;alchemy
alcibiades a wɔfrɛ no alcibiades;Alcibiades
alcmene na ɔkyerɛwee;Alcmene
alcove a ɛwɔ hɔ;alcove
aldaric acid a wɔde yɛ aduru;aldaric acid
aldebaran na ɔkyerɛwee;Aldebaran
aldehyde a wɔde yɛ aduru;aldehyde
alder;alder
alder tuntum a wɔfrɛ no alder;black alder
alderman a ɔyɛ ɔpanyin;alderman
aldolase a wɔde di dwuma;aldolase
aldonic a wɔde di dwuma;aldonic
aldonic acid a wɔde yɛ aduru;aldonic acid
aldopentose a wɔde yɛ aduru;aldopentose
aldose a wɔde di dwuma;aldose
ale;ale
aleatory a wɔde di dwuma;aleatory
alembic na ɛyɛ;alembic
aleph;aleph
aleppo na ɛwɔ hɔ;Aleppo
aleutian nsupɔw so;Aleutian Islands
alexander na ɔkyerɛwee;Alexander
alexander ɔkɛseɛ;Alexander the Great
alexandra na ɔkyerɛwee;Alexandra
alexandria na ɛwɔ hɔ;Alexandria
alexandriafo a wɔyɛ adwuma wɔ hɔ;Alexandrian
alexandroupoli na ɔkyerɛwee;Alexandroupoli
alexius na ɔkyerɛwee;Alexius
alfa;alpha
alfa a ɛporɔw;alpha decay
alfa asorɔkye;alpha wave
alfa centauri na ɔkyerɛwee;Alpha Centauri
alfa helix a ɛwɔ hɔ;alpha helix
alfa ray a ɛyɛ hyew;alpha ray
alfa ɔbarima;alpha male
alfalfa a wɔfrɛ no alfalfa;alfalfa
alfonso na ɔkyerɛwee;Alfonso
alfred na ɔkyerɛwee;Alfred
alfvén asorɔkye;Alfvén wave
algebra a wɔde kyerɛw nsɛm;algebra
algebraic a wɔde di dwuma;algebraic
algebraic geometry a wɔde di dwuma;algebraic geometry
algebraic nsɛsoɔ;algebraic equation
algeciras na ɛwɔ hɔ;Algeciras
algeria na ɛwɔ hɔ;Algeria
algeriafo arabic kasa;Algerian Arabic
algeriafoɔ;Algerian
algherese kasa;Algherese
alghero na ɔkyerɛwee;Alghero
algid a ɛyɛ den;algid
algiers na ɛwɔ hɔ;Algiers
alginate a wɔde yɛ nneɛma;alginate
algolagnia a ɛwɔ nipadua no mu;algolagnia
algologist ho ɔbenfo;algologist
algology ho adesua;algology
algometry a wɔde di dwuma;algometry
algophilia a wɔfrɛ no algophilia;algophilia
algorithm a wɔde yɛ adwuma;algorithm
algorithmic a wɔde yɛ adwuma;algorithmic
alias a wɔde frɛ no;alias
alibi;alibi
alicante na ɛwɔ hɔ;Alicante
alice na ɔkyerɛwee;Alice
alice wɔ anwonwade asase mu;Alice in Wonderland
alight;alight
align no hyia;align
alignment a wɔde hyɛ mu;alignment
alimony a wɔde ma;alimony
aliphatic a ɛwɔ hɔ;aliphatic
aliquot;aliquot
aliyah;aliyah
alkali a wɔde yɛ nneɛma;alkali
alkalimeter a wɔde kyerɛ sɛnea nneɛma te;alkalimeter
alkalimetry a wɔde kyerɛw nneɛma;alkalimetry
alkaline a ɛyɛ den;alkaline
alkaline asase dade;alkaline earth metal
alkaloid a wɔde yɛ nneɛma;alkaloid
alkane a wɔde yɛ adwuma;alkane
alkene a ɛyɛ den;alkene
alkyl a wɔfrɛ no alkyl;alkyl
alkyne a wɔfrɛ no alkyne;alkyne
allah;Allah
