I am a doctor;Meyɛ oduruyɛfo
Italian Peninsula;Italia Po no so
Italian Republic;Italia Ɔmanpanyin
Italian;Italia kasa
Italianism;Italiafo kasa
Italianization;Italiafo a wɔde wɔn ho hyɛ mu
Italianize;Fa Italia kasa
Italianness;Italiafo kasa
italic;nkyerɛwde a wɔde nkyerɛwde a ɛyɛ den akyerɛw
Italo-;Italo- .
Italophile;Italophile a ɔyɛ ɔkyerɛwfo
italophone;ilophone a wɔde kasa a ɛyɛ fɛ
Italy;Italy
itch;ɛyɛ akisikuru
item;adeɛ
itemize;kyerɛw nsɛm biara
iterative aspect;afã a wɔsan yɛ no mpɛn pii
iterative;asɛm a wɔka no mpɛn pii
Ithaca;Ithaca na ɔkyerɛwee
itinerant worker;odwumayɛni a ɔkyinkyin
itinerary;akwantu nhyehyɛe
its;ɛyɛ
itself;ankasa
Itzcoatl;Itzcoatl na ɔkyerɛwee
IUD;IUD a ɛyɛ den
Ivan;Ivan na ɔkyerɛwee
Ivanovich;Ivanovich na ɔkyerɛwee
Ivanovo;Ivanovo na ɔkyerɛwee
Ivorian;Ivorianfo de
ivory tower;asonse abantenten a wɔde ayɛ
ivory;asonse a wɔde ayɛ
ivy;ivy a wɔfrɛ no ivy
Iwo Jima;Iwo Jima
Ixion;Ixion na ɛyɛ
Izhevsk;Izhevsk na ɔkyerɛwee
